index,lon,lat,alt,
0,-73.91561625,45.45476828,-11.27776909,
1,-73.91561625,45.45476828,-11.27776909,
2,-73.91561513,45.45476836,-11.27998161,
3,-73.91561371,45.45476844,-11.28340054,
4,-73.91561213,45.45476856,-11.28629971,
5,-73.91561050,45.45476867,-11.28766060,
6,-73.91560864,45.45476890,-11.28856087,
7,-73.91560647,45.45476889,-11.28927898,
8,-73.91560418,45.45476898,-11.28928471,
9,-73.91560176,45.45476913,-11.29026985,
10,-73.91559956,45.45476915,-11.29159546,
11,-73.91559685,45.45476936,-11.29379463,
12,-73.91559409,45.45476955,-11.29820061,
13,-73.91559110,45.45476962,-11.30226040,
14,-73.91558801,45.45476979,-11.30404472,
15,-73.91558512,45.45476980,-11.30306721,
16,-73.91558168,45.45477002,-11.29955101,
17,-73.91557825,45.45477015,-11.29530621,
18,-73.91557540,45.45477027,-11.29183769,
19,-73.91557194,45.45477041,-11.28946590,
20,-73.91556873,45.45477061,-11.28887081,
21,-73.91556501,45.45477077,-11.28797245,
22,-73.91556119,45.45477076,-11.28760529,
23,-73.91555772,45.45477090,-11.28924370,
24,-73.91555360,45.45477110,-11.29012585,
25,-73.91555012,45.45477127,-11.29054737,
26,-73.91554620,45.45477152,-11.29144669,
27,-73.91554222,45.45477177,-11.29324722,
28,-73.91553506,45.45477231,-11.29057980,
29,-73.91553506,45.45477231,-11.29057980,
30,-73.91553244,45.45477261,-11.29420757,
31,-73.91553012,45.45477271,-11.29941273,
32,-73.91552878,45.45477282,-11.30306911,
33,-73.91552878,45.45477282,-11.30306911,
34,-73.91552632,45.45477306,-11.31171894,
35,-73.91552545,45.45477299,-11.31250095,
36,-73.91552474,45.45477302,-11.31181717,
37,-73.91552420,45.45477307,-11.31074905,
38,-73.91552367,45.45477300,-11.30818748,
39,-73.91552324,45.45477293,-11.30521584,
40,-73.91552277,45.45477279,-11.30197430,
41,-73.91552234,45.45477274,-11.29907417,
42,-73.91552196,45.45477269,-11.29594803,
43,-73.91552156,45.45477263,-11.29251575,
44,-73.91552089,45.45477254,-11.29085159,
45,-73.91552046,45.45477259,-11.29047203,
46,-73.91551982,45.45477252,-11.29100323,
47,-73.91551923,45.45477251,-11.29181767,
48,-73.91551851,45.45477261,-11.29285717,
49,-73.91551785,45.45477251,-11.29446793,
50,-73.91551733,45.45477256,-11.29696465,
51,-73.91551675,45.45477254,-11.29852295,
52,-73.91551566,45.45477251,-11.29891968,
53,-73.91551566,45.45477251,-11.29891968,
54,-73.91551508,45.45477249,-11.29828930,
55,-73.91551474,45.45477247,-11.29678822,
56,-73.91551412,45.45477244,-11.29486847,
57,-73.91551345,45.45477244,-11.29270267,
58,-73.91551293,45.45477246,-11.29055882,
59,-73.91551225,45.45477233,-11.28855515,
60,-73.91551148,45.45477229,-11.28618431,
61,-73.91550947,45.45477221,-11.28008842,
62,-73.91550947,45.45477221,-11.28008842,
63,-73.91550832,45.45477209,-11.27695942,
64,-73.91550706,45.45477211,-11.27287292,
65,-73.91550560,45.45477204,-11.27010822,
66,-73.91550227,45.45477176,-11.26516247,
67,-73.91550227,45.45477176,-11.26516247,
68,-73.91550082,45.45477168,-11.26490593,
69,-73.91549952,45.45477160,-11.26519680,
70,-73.91549760,45.45477151,-11.26597595,
71,-73.91549488,45.45477141,-11.26742077,
72,-73.91549488,45.45477141,-11.26742077,
73,-73.91549358,45.45477130,-11.26958466,
74,-73.91549251,45.45477122,-11.27243423,
75,-73.91549121,45.45477114,-11.27543926,
76,-73.91549013,45.45477108,-11.27773190,
77,-73.91548878,45.45477113,-11.28013706,
78,-73.91548759,45.45477104,-11.28229237,
79,-73.91548663,45.45477094,-11.28372574,
80,-73.91548558,45.45477071,-11.28530788,
81,-73.91548439,45.45477068,-11.28666496,
82,-73.91548345,45.45477061,-11.28769875,
83,-73.91548253,45.45477077,-11.28805923,
84,-73.91548150,45.45477067,-11.28660202,
85,-73.91548050,45.45477055,-11.28548145,
86,-73.91547947,45.45477046,-11.28461552,
87,-73.91547845,45.45477039,-11.28477859,
88,-73.91547742,45.45477033,-11.28584480,
89,-73.91547634,45.45477024,-11.28795147,
90,-73.91547529,45.45477015,-11.28857803,
91,-73.91547432,45.45477007,-11.28825855,
92,-73.91547304,45.45476994,-11.28762531,
93,-73.91547197,45.45476984,-11.28705597,
94,-73.91547087,45.45476980,-11.28773212,
95,-73.91546992,45.45476975,-11.29003906,
96,-73.91546896,45.45476957,-11.29415035,
97,-73.91546785,45.45476955,-11.29854488,
98,-73.91546659,45.45476954,-11.30040359,
99,-73.91546531,45.45476952,-11.30095863,
100,-73.91546387,45.45476954,-11.30107594,
101,-73.91546257,45.45476943,-11.30126381,
102,-73.91546097,45.45476960,-11.30338001,
103,-73.91545968,45.45476956,-11.30498600,
104,-73.91545815,45.45476948,-11.30357933,
105,-73.91545664,45.45476945,-11.29712582,
106,-73.91545539,45.45476932,-11.29156017,
107,-73.91545388,45.45476954,-11.28425026,
108,-73.91545277,45.45476953,-11.27806473,
109,-73.91545133,45.45476956,-11.27244949,
110,-73.91544993,45.45476958,-11.26978779,
111,-73.91544832,45.45476955,-11.26969528,
112,-73.91544551,45.45476925,-11.26903820,
113,-73.91544551,45.45476925,-11.26903820,
114,-73.91544425,45.45476918,-11.26481724,
115,-73.91544321,45.45476929,-11.25936985,
116,-73.91544195,45.45476907,-11.25502491,
117,-73.91544075,45.45476916,-11.25196457,
118,-73.91543968,45.45476917,-11.25058174,
119,-73.91543874,45.45476928,-11.24790478,
120,-73.91543792,45.45476915,-11.24617195,
121,-73.91543714,45.45476930,-11.24917793,
122,-73.91543619,45.45476914,-11.25374699,
123,-73.91543519,45.45476921,-11.25933838,
124,-73.91543450,45.45476943,-11.25991631,
125,-73.91543340,45.45476940,-11.25781727,
126,-73.91543233,45.45476941,-11.25387859,
127,-73.91543121,45.45476942,-11.25066376,
128,-73.91543013,45.45476941,-11.24933815,
129,-73.91542874,45.45476936,-11.24779510,
130,-73.91542743,45.45476925,-11.24881554,
131,-73.91542583,45.45476933,-11.25088692,
132,-73.91542424,45.45476941,-11.25348377,
133,-73.91542272,45.45476964,-11.25837135,
134,-73.91542127,45.45476977,-11.26355553,
135,-73.91542020,45.45476998,-11.26749611,
136,-73.91541896,45.45477022,-11.26860046,
137,-73.91541780,45.45477039,-11.27029133,
138,-73.91541697,45.45477044,-11.27069664,
139,-73.91541617,45.45477063,-11.26960659,
140,-73.91541518,45.45477083,-11.26941586,
141,-73.91541351,45.45477103,-11.26590252,
142,-73.91541351,45.45477103,-11.26590252,
143,-73.91541242,45.45477128,-11.26488972,
144,-73.91541133,45.45477127,-11.26528168,
145,-73.91541008,45.45477150,-11.26801586,
146,-73.91540875,45.45477163,-11.27149010,
147,-73.91540735,45.45477177,-11.27726460,
148,-73.91540619,45.45477169,-11.28119755,
149,-73.91540404,45.45477207,-11.28510284,
150,-73.91540237,45.45477221,-11.28549480,
151,-73.91540031,45.45477234,-11.28395176,
152,-73.91539832,45.45477244,-11.28086567,
153,-73.91539623,45.45477250,-11.27718258,
154,-73.91539430,45.45477263,-11.27406120,
155,-73.91539214,45.45477284,-11.27132416,
156,-73.91538963,45.45477297,-11.27084541,
157,-73.91538749,45.45477310,-11.27191067,
158,-73.91538511,45.45477327,-11.27515793,
159,-73.91538279,45.45477340,-11.28079891,
160,-73.91538063,45.45477351,-11.28412342,
161,-73.91537874,45.45477358,-11.28690910,
162,-73.91537724,45.45477371,-11.28890514,
163,-73.91537575,45.45477377,-11.29201794,
164,-73.91537490,45.45477363,-11.29527187,
165,-73.91537391,45.45477387,-11.29729462,
166,-73.91537319,45.45477383,-11.29907131,
167,-73.91537288,45.45477390,-11.30085659,
168,-73.91537255,45.45477391,-11.30076790,
169,-73.91537240,45.45477385,-11.29983807,
170,-73.91537223,45.45477384,-11.29926968,
171,-73.91537215,45.45477384,-11.29863262,
172,-73.91537216,45.45477387,-11.29924393,
173,-73.91537222,45.45477390,-11.30058575,
174,-73.91537229,45.45477391,-11.30216122,
175,-73.91537245,45.45477406,-11.30354404,
176,-73.91537263,45.45477401,-11.30494595,
177,-73.91537292,45.45477408,-11.30704594,
178,-73.91537317,45.45477409,-11.30840302,
179,-73.91537337,45.45477401,-11.30978966,
180,-73.91537367,45.45477403,-11.31007671,
181,-73.91537414,45.45477388,-11.30905247,
182,-73.91537453,45.45477386,-11.30770493,
183,-73.91537488,45.45477387,-11.30619431,
184,-73.91537550,45.45477372,-11.30634499,
185,-73.91537604,45.45477374,-11.30764771,
186,-73.91537748,45.45477373,-11.30939102,
187,-73.91537748,45.45477373,-11.30939102,
188,-73.91537844,45.45477371,-11.30850697,
189,-73.91537907,45.45477352,-11.30760479,
190,-73.91537980,45.45477354,-11.30708790,
191,-73.91538032,45.45477343,-11.30582428,
192,-73.91538087,45.45477339,-11.30317974,
193,-73.91538148,45.45477348,-11.30086994,
194,-73.91538205,45.45477340,-11.29941463,
195,-73.91538257,45.45477345,-11.29818344,
196,-73.91538315,45.45477344,-11.29801273,
197,-73.91538381,45.45477349,-11.29857254,
198,-73.91538449,45.45477349,-11.29896832,
199,-73.91538513,45.45477347,-11.29941463,
200,-73.91538669,45.45477332,-11.30144882,
201,-73.91538669,45.45477332,-11.30144882,
202,-73.91538759,45.45477339,-11.29975796,
203,-73.91538842,45.45477342,-11.29619408,
204,-73.91538922,45.45477342,-11.29294109,
205,-73.91539020,45.45477340,-11.28813648,
206,-73.91539137,45.45477341,-11.28416252,
207,-73.91539292,45.45477340,-11.27900505,
208,-73.91539422,45.45477354,-11.27449799,
209,-73.91539567,45.45477348,-11.27234554,
