index,x,y,z,
1,-5.92280739,-36.12824179,11.27776909,
2,-5.92280739,-36.12824179,11.27776909,
3,-5.83547231,-36.11962057,11.27998161,
4,-5.72401679,-36.11111189,11.28340054,
5,-5.60115624,-36.09702993,11.28629971,
6,-5.47354538,-36.08486868,11.28766060,
7,-5.32851368,-36.05974317,11.28856087,
8,-5.15917557,-36.06072736,11.28927898,
9,-4.98045038,-36.05084920,11.28928471,
10,-4.79134729,-36.03403020,11.29026985,
11,-4.61937223,-36.03222394,11.29159546,
12,-4.40776802,-36.00820661,11.29379463,
13,-4.16365956,-35.98633504,11.29820061,
14,-3.95886082,-35.97974706,11.30226040,
15,-3.71782796,-35.96013188,11.30404472,
16,-3.49183084,-35.95985341,11.30306721,
17,-3.22339210,-35.93476224,11.29955101,
18,-2.95519181,-35.92088246,11.29530621,
19,-2.73316866,-35.90667653,11.29183769,
20,-2.46247926,-35.89133572,11.28946590,
21,-2.21183334,-35.86959767,11.28887081,
22,-1.92124783,-35.85105251,11.28797245,
23,-1.62355932,-35.85308575,11.28760529,
24,-1.35186997,-35.83700870,11.28924370,
25,-1.03012777,-35.81501507,11.29012585,
26,-0.75849189,-35.79576610,11.29054737,
27,-0.45245103,-35.76755069,11.29144669,
28,-0.10249186,-35.73608134,11.29324722,
29,0.41695273,-35.67999766,11.29057980,
30,0.41695273,-35.67999766,11.29057980,
31,0.62206281,-35.64704058,11.29420757,
32,0.80282266,-35.63595126,11.29941273,
33,0.90740500,-35.62305567,11.30306911,
34,0.90740500,-35.62305567,11.30306911,
35,1.10011632,-35.59618303,11.31171894,
36,1.16729062,-35.60389826,11.31250095,
37,1.22305652,-35.60050318,11.31181717,
38,1.26502221,-35.59568522,11.31074905,
39,1.30667272,-35.60370943,11.30818748,
40,1.34048780,-35.61093256,11.30521584,
41,1.37712721,-35.62635538,11.30197430,
42,1.41020844,-35.63227007,11.29907417,
43,1.44032181,-35.63810656,11.29594803,
44,1.47129635,-35.64389727,11.29251575,
45,1.52376684,-35.65415309,11.29085159,
46,1.55695200,-35.64845774,11.29047203,
47,1.60715701,-35.65651820,11.29100323,
48,1.65368749,-35.65758822,11.29181767,
49,1.70953826,-35.64668200,11.29285717,
50,1.76099115,-35.65734789,11.29446793,
51,1.80207898,-35.65188906,11.29696465,
52,1.84720517,-35.65438388,11.29852295,
53,1.93179126,-35.65788958,11.29891968,
54,1.93179126,-35.65788958,11.29891968,
55,1.97725552,-35.65980837,11.29828930,
56,2.00419028,-35.66214869,11.29678822,
57,2.05233487,-35.66572116,11.29486847,
58,2.10454784,-35.66555140,11.29270267,
59,2.14544612,-35.66337893,11.29055882,
60,2.19847666,-35.67816279,11.28855515,
61,2.25885646,-35.68184970,11.28618431,
62,2.41586709,-35.69089244,11.28008842,
63,2.41586709,-35.69089244,11.28008842,
64,2.50509284,-35.70482753,11.27695942,
65,2.60354971,-35.70233081,11.27287292,
66,2.71738966,-35.70955012,11.27010822,
67,2.97789881,-35.74139713,11.26516247,
68,2.97789881,-35.74139713,11.26516247,
69,3.09117421,-35.75041888,11.26490593,
70,3.19247282,-35.75900577,11.26519680,
71,3.34248297,-35.76910900,11.26597595,
72,3.55491928,-35.78071521,11.26742077,
73,3.55491928,-35.78071521,11.26742077,
74,3.65600142,-35.79247402,11.26958466,
75,3.73977521,-35.80144237,11.27243423,
76,3.84121688,-35.80994915,11.27543926,
77,3.92587783,-35.81736683,11.27773190,
78,4.03092366,-35.81095813,11.28013706,
79,4.12386091,-35.82175564,11.28229237,
80,4.19901965,-35.83212208,11.28372574,
81,4.28125258,-35.85777210,11.28530788,
82,4.37383193,-35.86161160,11.28666496,
83,4.44739195,-35.86909603,11.28769875,
84,4.51908654,-35.85147785,11.28805923,
85,4.59970176,-35.86299061,11.28660202,
86,4.67742543,-35.87548756,11.28548145,
87,4.75846707,-35.88546108,11.28461552,
88,4.83745614,-35.89383053,11.28477859,
89,4.91792450,-35.90089344,11.28584480,
90,5.00291735,-35.91063618,11.28795147,
91,5.08473486,-35.92071461,11.28857803,
92,5.16067651,-35.92903256,11.28825855,
93,5.26043573,-35.94343114,11.28762531,
94,5.34375124,-35.95458340,11.28705597,
95,5.42952437,-35.95916677,11.28773212,
96,5.50359317,-35.96473622,11.29003906,
97,5.57857035,-35.98530126,11.29415035,
98,5.66542126,-35.98769307,11.29854488,
99,5.76385822,-35.98843122,11.30040359,
100,5.86381389,-35.99108243,11.30095863,
101,5.97663290,-35.98821950,11.30107594,
102,6.07820012,-36.00017858,11.30126381,
103,6.20313622,-35.98116231,11.30338001,
104,6.30375931,-35.98636556,11.30498600,
105,6.42272817,-35.99468160,11.30357933,
106,6.54056658,-35.99831891,11.29712582,
107,6.63857472,-36.01288915,11.29156017,
108,6.75629878,-35.98879933,11.28425026,
109,6.84291561,-35.98893476,11.27806473,
110,6.95539490,-35.98660779,11.27244949,
111,7.06456635,-35.98339772,11.26978779,
112,7.20520488,-35.98755193,11.26969528,
113,7.40963995,-36.02045560,11.26903820,
114,7.40963995,-36.02045560,11.26903820,
115,7.50839509,-36.02882505,11.26481724,
116,7.58934318,-36.01640249,11.25936985,
117,7.68830486,-36.04106069,11.25502491,
118,7.78153687,-36.03093267,11.25196457,
119,7.86496899,-36.02960515,11.25058174,
120,7.93863719,-36.01696325,11.24790478,
121,8.00255383,-36.03168416,11.24617195,
122,8.06388992,-36.01507116,11.24917793,
123,8.13813728,-36.03291250,11.25374699,
124,8.21555654,-36.02501989,11.25933838,
125,8.26964787,-36.00015187,11.25991631,
126,8.35536503,-36.00371671,11.25781727,
127,8.43946915,-36.00323033,11.25387859,
128,8.52676336,-36.00218702,11.25066376,
129,8.61069642,-36.00231671,11.24933815,
130,8.71933526,-36.00835347,11.24779510,
131,8.82162798,-36.02018285,11.24881554,
132,8.94698472,-36.01122213,11.25088692,
133,9.07109191,-36.00247312,11.25348377,
134,9.18976314,-35.97696996,11.25837135,
135,9.30299831,-35.96261144,11.26355553,
136,9.38611591,-35.93887639,11.26749611,
137,9.48290330,-35.91315007,11.26860046,
138,9.57386754,-35.89332890,11.27029133,
139,9.63828546,-35.88869786,11.27069664,
140,9.70142647,-35.86708569,11.26960659,
141,9.77822249,-35.84453129,11.26941586,
142,9.90879408,-35.82199978,11.26590252,
143,9.90879408,-35.82199978,11.26590252,
144,9.99363736,-35.79500125,11.26488972,
145,10.07928261,-35.79564022,11.26528168,
146,10.17662613,-35.77039455,11.26801586,
147,10.28024259,-35.75596164,11.27149010,
148,10.38984984,-35.73971103,11.27726460,
149,10.48049348,-35.74908946,11.28119755,
150,10.64794272,-35.70661471,11.28510284,
151,10.77901344,-35.69076464,11.28549480,
152,10.93949352,-35.67684672,11.28395176,
153,11.09528506,-35.66500971,11.28086567,
154,11.25833078,-35.65862582,11.27718258,
155,11.40863627,-35.64409373,11.27406120,
156,11.57790706,-35.62125513,11.27132416,
157,11.77362463,-35.60702440,11.27084541,
158,11.94029787,-35.59245417,11.27191067,
159,12.12640184,-35.57326815,11.27515793,
160,12.30766232,-35.55890772,11.28079891,
161,12.47598901,-35.54644319,11.28412342,
162,12.62387027,-35.53850481,11.28690910,
163,12.74084039,-35.52393076,11.28890514,
164,12.85758451,-35.51774904,11.29201794,
165,12.92392389,-35.53252336,11.29527187,
166,13.00143789,-35.50631830,11.29729462,
167,13.05739216,-35.51071092,11.29907131,
168,13.08128371,-35.50341722,11.30085659,
169,13.10742738,-35.50233766,11.30076790,
170,13.11916576,-35.50828096,11.29983807,
171,13.13230841,-35.50939676,11.29926968,
172,13.13852450,-35.50984880,11.29863262,
173,13.13788981,-35.50615236,11.29924393,
174,13.13325397,-35.50306817,11.30058575,
175,13.12783039,-35.50183793,11.30216122,
176,13.11535145,-35.48499414,11.30354404,
177,13.10101863,-35.49061319,11.30494595,
178,13.07866532,-35.48305055,11.30704594,
179,13.05859896,-35.48208543,11.30840302,
180,13.04332629,-35.49021646,11.30978966,
181,13.01998928,-35.48868104,11.31007671,
182,12.98284592,-35.50487253,11.30905247,
183,12.95294571,-35.50696870,11.30770493,
184,12.92511258,-35.50618860,11.30619431,
185,12.87651983,-35.52320978,11.30634499,
186,12.83506292,-35.52028390,11.30764771,
187,12.72226892,-35.52234384,11.30939102,
188,12.72226892,-35.52234384,11.30939102,
189,12.64746426,-35.52425310,11.30850697,
190,12.59818201,-35.54576418,11.30760479,
191,12.54103803,-35.54267999,11.30708790,
192,12.50040943,-35.55485269,11.30582428,
193,12.45750772,-35.56028864,11.30317974,
194,12.41006073,-35.54924890,11.30086994,
195,12.36534990,-35.55877039,11.29941463,
196,12.32473365,-35.55359575,11.29818344,
197,12.27978390,-35.55435106,11.29801273,
198,12.22771110,-35.54894945,11.29857254,
199,12.17505800,-35.54852220,11.29896832,
200,12.11791667,-35.55125543,11.29941463,
201,12.00304584,-35.56757662,11.30144882,
202,12.00304584,-35.56757662,11.30144882,
203,11.93306247,-35.55969927,11.29975796,
204,11.86834079,-35.55640718,11.29619408,
205,11.80533695,-35.55696413,11.29294109,
206,11.72894273,-35.55853197,11.28813648,
207,11.62550789,-35.55699465,11.28416252,
208,11.51676894,-35.55864260,11.27900505,
209,11.41545624,-35.54301950,11.27449799,
210,11.30199778,-35.54956362,11.27234554,
211,11.16325992,-35.55319330,11.27001190,
212,11.04841455,-35.55372163,11.27015781,
213,10.91803492,-35.54670641,11.27202225,
214,10.78517621,-35.53710481,11.27377415,
215,10.67264688,-35.54556963,11.27369595,
216,10.56701449,-35.53100320,11.27292442,
217,10.45302051,-35.52271959,11.27334690,
218,10.32622908,-35.50848504,11.27455139,
219,10.24382789,-35.51482316,11.27583599,
220,10.14881625,-35.49383851,11.27875710,
221,10.05949218,-35.49037668,11.28132534,
222,9.95878252,-35.50834771,11.28318405,
223,9.83966525,-35.49850961,11.28456688,
224,9.73665314,-35.50171014,11.28548431,
225,9.65220570,-35.50372239,11.28593731,
226,9.55678667,-35.50460168,11.28669834,
227,9.45438001,-35.50364992,11.28786850,
228,9.38372457,-35.50439187,11.28837585,
229,9.30870126,-35.50339052,11.28823566,
230,9.23925853,-35.50312349,11.28602695,
231,9.14725312,-35.50411149,11.28326607,
232,9.09872665,-35.50422021,11.28348541,
233,9.04209955,-35.51733133,11.28706264,
234,8.98147636,-35.51100656,11.29214001,
235,8.92109120,-35.50972673,11.29532051,
236,8.86476656,-35.50989839,11.29675770,
237,8.82275995,-35.49795648,11.29765224,
238,8.77485203,-35.50894090,11.29785347,
239,8.72691823,-35.51330873,11.29669571,
240,8.68139080,-35.53263589,11.29549503,
241,8.63415673,-35.52376482,11.29476643,
242,8.60538334,-35.53650781,11.29371071,
243,8.53247505,-35.55875131,11.29763985,
244,8.53247505,-35.55875131,11.29763985,
245,8.48952325,-35.57223818,11.30108261,
246,8.44744198,-35.57892725,11.30320072,
247,8.39517097,-35.56842348,11.30484104,
248,8.34390816,-35.57183382,11.30657673,
249,8.29786729,-35.58230898,11.30704880,
250,8.26426194,-35.59288714,11.30655003,
251,8.22833645,-35.58706209,11.30654907,
252,8.18484621,-35.58919451,11.30477619,
253,8.13334486,-35.56713220,11.30182934,
254,8.08101464,-35.56031534,11.29882717,
255,8.01941136,-35.55575868,11.29719448,
256,7.95466512,-35.53848955,11.29612064,
257,7.88006466,-35.52958414,11.29561424,
258,7.79581703,-35.53547403,11.29556465,
259,7.71000092,-35.52516481,11.29723835,
260,7.62934419,-35.53323290,11.29867363,
261,7.44073732,-35.54421541,11.30540276,
262,7.44073732,-35.54421541,11.30540276,
263,7.30997405,-35.52096292,11.30951595,
264,7.19095567,-35.53794405,11.31106853,
265,7.04636732,-35.53602716,11.31203461,
266,6.93010015,-35.53788492,11.31010151,
267,6.76718746,-35.54271433,11.30683327,
268,6.61709809,-35.53151628,11.30348396,
269,6.46833558,-35.54666445,11.29979420,
270,6.33364802,-35.54952547,11.29725266,
271,6.18281311,-35.53958246,11.29523277,
272,6.04427980,-35.53318521,11.29193115,
273,5.92740528,-35.52561113,11.28907394,
274,5.76317763,-35.51479074,11.28589153,
275,5.64106622,-35.51111337,11.28456593,
276,5.54144080,-35.53354379,11.28360462,
277,5.45417904,-35.52919504,11.28317356,
278,5.36105972,-35.51570245,11.28307629,
279,5.27989370,-35.51173898,11.28293610,
280,5.20095893,-35.53365442,11.28430462,
281,5.05755905,-35.53998872,11.28948784,
282,5.05755905,-35.53998872,11.28948784,
283,4.97380851,-35.54084703,11.29132843,
284,4.89050704,-35.54578325,11.29199028,
285,4.79423116,-35.56853411,11.29154682,
286,4.71181290,-35.56675264,11.29000759,
287,4.60882669,-35.57955858,11.28915501,
288,4.49620552,-35.57374308,11.28764534,
289,4.39333004,-35.58195040,11.28710175,
290,4.31323997,-35.59102366,11.28682709,
291,4.18955974,-35.60321924,11.28693676,
292,4.07575626,-35.59629366,11.28472710,
293,3.97022955,-35.60564730,11.28282452,
294,3.85969698,-35.61317751,11.28166199,
295,3.73224896,-35.60566256,11.28050518,
296,3.60913307,-35.61381457,11.27766132,
297,3.50167608,-35.60357783,11.27507114,
298,3.38337123,-35.59936640,11.27255630,
299,3.26933150,-35.59769556,11.27109718,
300,3.14405978,-35.59118006,11.27226925,
301,3.01398416,-35.59178659,11.27314472,
302,2.88751534,-35.57503435,11.27411270,
303,2.76400819,-35.58040926,11.27599621,
304,2.63118074,-35.58045122,11.27942371,
305,2.48932597,-35.57387850,11.28337765,
306,2.34948587,-35.57461664,11.28703117,
307,2.07671914,-35.57489702,11.29442883,
308,2.07671914,-35.57489702,11.29442883,
309,1.91605071,-35.58362505,11.29904366,
310,1.78476295,-35.58368036,11.30214119,
311,1.64209162,-35.58053514,11.30485725,
312,1.49951947,-35.57975695,11.30867004,
313,1.36140196,-35.58148310,11.31116676,
314,1.23501518,-35.59348414,11.31331539,
315,1.08597803,-35.59030268,11.31622219,
316,0.97176066,-35.58540270,11.31943703,
317,0.83028667,-35.58440325,11.32190609,
318,0.67869750,-35.60053751,11.32281303,
319,0.52742206,-35.58714792,11.32199287,
320,0.37501939,-35.58986208,11.32113552,
321,0.22886428,-35.60625193,11.31907558,
322,-0.05747164,-35.61229822,11.31223869,
323,-0.05747164,-35.61229822,11.31223869,
324,-0.20857634,-35.61276934,11.30826569,
325,-0.33751852,-35.62258265,11.30515003,
326,-0.47642852,-35.62708971,11.30183983,
327,-0.59307158,-35.63919184,11.29935932,
328,-0.69090522,-35.63222811,11.29671574,
329,-0.80404159,-35.64284441,11.29374886,
330,-0.90598605,-35.64454005,11.29157448,
331,-1.01883490,-35.64172862,11.28968716,
332,-1.08119978,-35.64073679,11.28747082,
333,-1.19050523,-35.64135287,11.28498554,
334,-1.30079439,-35.64344714,11.28230762,
335,-1.42589610,-35.64180491,11.28029919,
336,-1.49731662,-35.65824625,11.27808857,
337,-1.57752390,-35.65473101,11.27492619,
338,-1.66006339,-35.65865252,11.27245045,
339,-1.76002659,-35.66185496,11.27009296,
340,-1.86370342,-35.65773890,11.26766205,
341,-1.94482621,-35.66882441,11.26675129,
342,-2.04631769,-35.66758082,11.26468754,
343,-2.13292700,-35.67085574,11.26385212,
344,-2.23581466,-35.68524478,11.26217937,
345,-2.33295926,-35.69738124,11.26062107,
346,-2.43053015,-35.70843051,11.25913525,
347,-2.54403321,-35.71377681,11.25718117,
348,-2.66083124,-35.70336459,11.25592613,
349,-2.79328485,-35.71814654,11.25543499,
350,-2.95801571,-35.73204539,11.25628948,
351,-3.10035995,-35.73903583,11.25841236,
352,-3.26759042,-35.73295711,11.26085758,
353,-3.44646437,-35.74689983,11.26504612,
354,-3.59416827,-35.75611614,11.26746559,
355,-3.77619317,-35.76482128,11.27258205,
356,-3.92977078,-35.77090572,11.27712727,
357,-4.11201216,-35.78505634,11.28214169,
358,-4.26844318,-35.79260372,11.28539181,
359,-4.38435333,-35.79734157,11.28815746,
360,-4.51683842,-35.80301784,11.29032421,
361,-4.63807868,-35.81576847,11.29319763,
362,-4.76048720,-35.82322048,11.29586983,
363,-4.88244368,-35.83541416,11.29875088,
364,-5.11989067,-35.83495831,11.30154991,
365,-5.11989067,-35.83495831,11.30154991,
366,-5.26302742,-35.86114430,11.30204105,
367,-5.36637380,-35.85024189,11.30112839,
368,-5.53385701,-35.86284184,11.30031490,
369,-5.66577179,-35.86844563,11.30032253,
370,-5.82026209,-35.85837292,11.29999065,
