index,x,y,z,
0,0.27262060,0.09066773,-0.00149155,
1,0.27262060,0.09066773,-0.00149155,
2,0.35995568,0.09928895,-0.00370407,
3,0.47141120,0.10779763,-0.00712299,
4,0.59427175,0.12187959,-0.01002216,
5,0.72188261,0.13404084,-0.01138306,
6,0.86691431,0.15916635,-0.01228333,
7,1.03625242,0.15818216,-0.01300144,
8,1.21497761,0.16806032,-0.01300716,
9,1.40408070,0.18487932,-0.01399231,
10,1.57605576,0.18668558,-0.01531792,
11,1.78765997,0.21070291,-0.01751709,
12,2.03176843,0.23257448,-0.02240562,
13,2.23656717,0.23916246,-0.02598286,
14,2.47760003,0.25877764,-0.02776718,
15,2.70359715,0.25905611,-0.02678967,
16,2.97203589,0.28414728,-0.02327347,
17,3.24023618,0.29802706,-0.01902866,
18,3.46225933,0.31223299,-0.01556015,
19,3.73294873,0.32757380,-0.01318836,
20,3.98359465,0.34931185,-0.01259327,
21,4.27418016,0.36785701,-0.01169491,
22,4.57186867,0.36582377,-0.01132774,
23,4.84355802,0.38190082,-0.01296616,
24,5.16530022,0.40389445,-0.01384830,
25,5.43693610,0.42314342,-0.01426983,
26,5.74297696,0.45135883,-0.01516914,
27,6.09293613,0.48282818,-0.01698399,
28,6.61238072,0.53891186,-0.01430225,
29,6.61238072,0.53891186,-0.01430225,
30,6.81749080,0.57186894,-0.01793003,
31,6.99825065,0.58295826,-0.02313519,
32,7.10283299,0.59585385,-0.02679157,
33,7.10283299,0.59585385,-0.02679157,
34,7.29554431,0.62272649,-0.03544140,
35,7.36271861,0.61501126,-0.03622341,
36,7.41848451,0.61840634,-0.03553963,
37,7.46045020,0.62322430,-0.03447151,
38,7.50210071,0.61520009,-0.03190994,
39,7.53591579,0.60797696,-0.02893829,
40,7.57255520,0.59255414,-0.02569675,
41,7.60563643,0.58663945,-0.02279663,
42,7.63574980,0.58080296,-0.01967049,
43,7.66672434,0.57501225,-0.01623821,
44,7.71919483,0.56475643,-0.01457405,
45,7.75237999,0.57045178,-0.01419449,
46,7.80258500,0.56239132,-0.01472569,
47,7.84911548,0.56132130,-0.01554012,
48,7.90496625,0.57222752,-0.01657963,
49,7.95641914,0.56156163,-0.01819038,
50,7.99750697,0.56702046,-0.02068710,
51,8.04263316,0.56452564,-0.02224541,
52,8.12721925,0.56101994,-0.02264214,
53,8.12721925,0.56101994,-0.02264214,
54,8.17268351,0.55910115,-0.02201176,
55,8.19961827,0.55676083,-0.02051067,
56,8.24776286,0.55318836,-0.01859093,
57,8.29997583,0.55335812,-0.01642513,
58,8.34087411,0.55553059,-0.01428127,
59,8.39390465,0.54074673,-0.01227760,
60,8.45428445,0.53705982,-0.00990677,
61,8.61129508,0.52801708,-0.00381088,
62,8.61129508,0.52801708,-0.00381088,
63,8.70052083,0.51408199,-0.00068188,
64,8.79897770,0.51657871,0.00340462,
65,8.91281765,0.50935940,0.00616932,
66,9.17332680,0.47751239,0.01111507,
67,9.17332680,0.47751239,0.01111507,
68,9.28660220,0.46849064,0.01137161,
69,9.38790081,0.45990375,0.01108074,
70,9.53791096,0.44980052,0.01030159,
71,9.75034727,0.43819431,0.00885677,
72,9.75034727,0.43819431,0.00885677,
73,9.85142941,0.42643550,0.00669289,
74,9.93520320,0.41746715,0.00384331,
75,10.03664487,0.40896037,0.00083828,
76,10.12130582,0.40154269,-0.00145435,
77,10.22635165,0.40795139,-0.00385952,
78,10.31928890,0.39715388,-0.00601482,
79,10.39444764,0.38678744,-0.00744820,
80,10.47668057,0.36113742,-0.00903034,
81,10.56925992,0.35729792,-0.01038742,
82,10.64281994,0.34981349,-0.01142120,
83,10.71451453,0.36743167,-0.01178169,
84,10.79512975,0.35591891,-0.01032448,
85,10.87285342,0.34342196,-0.00920391,
86,10.95389506,0.33344844,-0.00833797,
87,11.03288413,0.32507899,-0.00850105,
88,11.11335249,0.31801608,-0.00956726,
89,11.19834534,0.30827334,-0.01167393,
90,11.28016285,0.29819491,-0.01230049,
91,11.35610450,0.28987696,-0.01198101,
92,11.45586372,0.27547838,-0.01134777,
93,11.53917923,0.26432612,-0.01077843,
94,11.62495236,0.25974275,-0.01145458,
95,11.69902116,0.25417330,-0.01376152,
96,11.77399834,0.23360826,-0.01787281,
97,11.86084925,0.23121645,-0.02226734,
98,11.95928621,0.23047830,-0.02412605,
99,12.05924188,0.22782709,-0.02468109,
100,12.17206089,0.23069002,-0.02479839,
101,12.27362811,0.21873094,-0.02498627,
102,12.39856421,0.23774721,-0.02710247,
103,12.49918730,0.23254396,-0.02870846,
104,12.61815616,0.22422792,-0.02730179,
105,12.73599457,0.22059061,-0.02084827,
106,12.83400271,0.20602037,-0.01528263,
107,12.95172677,0.23011019,-0.00797272,
