index,lon,lat,alt,
0,-73.91553691,45.45509364,-13.58812332,
1,-73.91553691,45.45509364,-13.58812332,
2,-73.91553546,45.45509416,-13.58444691,
3,-73.91553417,45.45509441,-13.58320904,
4,-73.91553248,45.45509498,-13.58167553,
5,-73.91553114,45.45509532,-13.58130455,
6,-73.91552976,45.45509567,-13.58258533,
7,-73.91552832,45.45509614,-13.58529282,
8,-73.91552687,45.45509639,-13.58791351,
9,-73.91552579,45.45509678,-13.59068680,
10,-73.91552404,45.45509712,-13.59373379,
11,-73.91552261,45.45509745,-13.59457302,
12,-73.91552137,45.45509781,-13.59364128,
13,-73.91551987,45.45509833,-13.59216118,
14,-73.91551819,45.45509868,-13.59182262,
15,-73.91551682,45.45509913,-13.59243488,
16,-73.91551549,45.45509947,-13.59312630,
17,-73.91551373,45.45509995,-13.59346390,
18,-73.91551209,45.45510021,-13.59343910,
19,-73.91551030,45.45510073,-13.59305668,
20,-73.91550687,45.45510162,-13.59348392,
21,-73.91550687,45.45510162,-13.59348392,
22,-73.91550509,45.45510207,-13.59457397,
23,-73.91550299,45.45510250,-13.59520817,
24,-73.91550112,45.45510304,-13.59564018,
25,-73.91549894,45.45510348,-13.59540939,
26,-73.91549709,45.45510383,-13.59327221,
27,-73.91549551,45.45510413,-13.59127712,
28,-73.91549417,45.45510423,-13.58894634,
29,-73.91549277,45.45510451,-13.58839130,
30,-73.91549152,45.45510482,-13.58723545,
31,-73.91549046,45.45510513,-13.58571911,
32,-73.91548938,45.45510540,-13.58454704,
33,-73.91548826,45.45510555,-13.58033943,
34,-73.91548739,45.45510580,-13.57641506,
35,-73.91548644,45.45510598,-13.57472038,
36,-73.91548546,45.45510619,-13.57491875,
37,-73.91548481,45.45510603,-13.57733250,
38,-73.91548407,45.45510619,-13.58135223,
39,-73.91548295,45.45510641,-13.58511639,
40,-73.91548204,45.45510650,-13.58698082,
41,-73.91548108,45.45510654,-13.58347416,
42,-73.91547998,45.45510683,-13.57548332,
43,-73.91547915,45.45510697,-13.56978226,
44,-73.91547810,45.45510708,-13.56444454,
45,-73.91547695,45.45510741,-13.56415749,
46,-73.91547579,45.45510762,-13.56794643,
47,-73.91547443,45.45510773,-13.57317448,
48,-73.91547333,45.45510803,-13.57802486,
49,-73.91547218,45.45510829,-13.58668613,
50,-73.91547120,45.45510831,-13.59443283,
51,-73.91547018,45.45510840,-13.59924412,
52,-73.91546918,45.45510864,-13.60144997,
53,-73.91546768,45.45510880,-13.60442829,
54,-73.91546768,45.45510880,-13.60442829,
55,-73.91546695,45.45510883,-13.60535908,
56,-73.91546641,45.45510885,-13.60395908,
57,-73.91546605,45.45510891,-13.59998894,
58,-73.91546584,45.45510901,-13.59556007,
59,-73.91546562,45.45510898,-13.59134293,
60,-73.91546540,45.45510901,-13.58901501,
61,-73.91546519,45.45510917,-13.58907795,
62,-73.91546490,45.45510914,-13.59041977,
63,-73.91546470,45.45510928,-13.59157944,
64,-73.91546445,45.45510929,-13.59412193,
65,-73.91546434,45.45510937,-13.59579849,
66,-73.91546425,45.45510944,-13.59710407,
67,-73.91546429,45.45510947,-13.59866238,
68,-73.91546408,45.45510954,-13.59910297,
69,-73.91546419,45.45510947,-13.60032177,
70,-73.91546422,45.45510948,-13.60041523,
71,-73.91546432,45.45510955,-13.60033226,
72,-73.91546457,45.45510943,-13.60054970,
73,-73.91546483,45.45510933,-13.60068512,
74,-73.91546513,45.45510922,-13.60188198,
75,-73.91546559,45.45510899,-13.60162258,
76,-73.91546609,45.45510881,-13.60082054,
77,-73.91546676,45.45510867,-13.59843063,
78,-73.91546759,45.45510836,-13.59286499,
79,-73.91546853,45.45510814,-13.58948326,
80,-73.91546963,45.45510791,-13.59139538,
81,-73.91547073,45.45510771,-13.59540367,
82,-73.91547192,45.45510755,-13.59948921,
83,-73.91547309,45.45510726,-13.60292435,
84,-73.91547435,45.45510696,-13.60547543,
85,-73.91547564,45.45510659,-13.60696793,
86,-73.91547666,45.45510649,-13.60760307,
87,-73.91547782,45.45510617,-13.60692501,
88,-73.91547895,45.45510590,-13.60629177,
89,-73.91548004,45.45510562,-13.60463333,
90,-73.91548085,45.45510524,-13.60355663,
91,-73.91548166,45.45510512,-13.60306072,
92,-73.91548234,45.45510496,-13.60216618,
93,-73.91548303,45.45510477,-13.60240269,
94,-73.91548359,45.45510457,-13.60410881,
95,-73.91548419,45.45510418,-13.60592937,
96,-73.91548457,45.45510415,-13.60528851,
97,-73.91548501,45.45510401,-13.60445881,
98,-73.91548548,45.45510387,-13.60308170,
99,-73.91548594,45.45510374,-13.60177326,
100,-73.91548658,45.45510359,-13.59895802,
101,-73.91548728,45.45510358,-13.59473419,
102,-73.91548791,45.45510355,-13.59300518,
103,-73.91548854,45.45510342,-13.59354115,
104,-73.91548934,45.45510326,-13.59534264,
105,-73.91549008,45.45510297,-13.59713078,
106,-73.91549067,45.45510284,-13.59856606,
107,-73.91549213,45.45510267,-13.59881020,
108,-73.91549213,45.45510267,-13.59881020,
109,-73.91549283,45.45510254,-13.59603596,
110,-73.91549362,45.45510218,-13.59320259,
111,-73.91549433,45.45510216,-13.59227276,
112,-73.91549512,45.45510193,-13.59228992,
113,-73.91549613,45.45510173,-13.59181786,
114,-73.91549710,45.45510157,-13.59171486,
115,-73.91549793,45.45510143,-13.59179878,
116,-73.91549860,45.45510147,-13.59181023,
117,-73.91549953,45.45510130,-13.59097481,
118,-73.91550043,45.45510109,-13.59120274,
119,-73.91550135,45.45510087,-13.59113979,
120,-73.91550213,45.45510085,-13.59157658,
121,-73.91550301,45.45510069,-13.59076595,
122,-73.91550415,45.45510052,-13.58868313,
123,-73.91550513,45.45510033,-13.58820152,
124,-73.91550637,45.45510015,-13.59079170,
125,-73.91550783,45.45509990,-13.59378242,
126,-73.91550908,45.45509969,-13.59604931,
127,-73.91551025,45.45509958,-13.59840584,
128,-73.91551143,45.45509935,-13.60086060,
129,-73.91551241,45.45509920,-13.60315323,
130,-73.91551365,45.45509889,-13.60332966,
131,-73.91551448,45.45509882,-13.60081100,
132,-73.91551563,45.45509862,-13.59980869,
133,-73.91551664,45.45509829,-13.60182858,
134,-73.91551776,45.45509802,-13.60579777,
135,-73.91551863,45.45509793,-13.60943031,
136,-73.91551986,45.45509764,-13.61212158,
137,-73.91552089,45.45509746,-13.61496067,
138,-73.91552200,45.45509726,-13.61533260,
139,-73.91552303,45.45509710,-13.61441994,
140,-73.91552528,45.45509657,-13.61304379,
141,-73.91552528,45.45509657,-13.61304379,
142,-73.91552637,45.45509641,-13.61308193,
143,-73.91552727,45.45509619,-13.61293411,
144,-73.91552810,45.45509600,-13.61163807,
145,-73.91552899,45.45509578,-13.60961819,
146,-73.91552989,45.45509552,-13.60628128,
147,-73.91553063,45.45509538,-13.60253143,
148,-73.91553152,45.45509519,-13.60016155,
149,-73.91553251,45.45509491,-13.59922218,
150,-73.91553351,45.45509454,-13.59875393,
151,-73.91553430,45.45509426,-13.59953213,
152,-73.91553523,45.45509419,-13.60146141,
153,-73.91553588,45.45509390,-13.60193825,
154,-73.91553667,45.45509369,-13.60158539,
155,-73.91553765,45.45509349,-13.60023785,
156,-73.91553838,45.45509340,-13.59889984,
157,-73.91553906,45.45509313,-13.59772968,
158,-73.91554055,45.45509284,-13.59779167,
159,-73.91554055,45.45509284,-13.59779167,
160,-73.91554132,45.45509263,-13.59730911,
161,-73.91554208,45.45509235,-13.59615421,
162,-73.91554304,45.45509220,-13.59542084,
163,-73.91554390,45.45509191,-13.59492493,
164,-73.91554460,45.45509171,-13.59350586,
165,-73.91554536,45.45509139,-13.59146118,
166,-73.91554624,45.45509095,-13.59194088,
167,-73.91554666,45.45509081,-13.59417820,
168,-73.91554703,45.45509075,-13.59662724,
169,-73.91554710,45.45509064,-13.59693050,
170,-73.91554715,45.45509055,-13.59904194,
171,-73.91554718,45.45509035,-13.59698009,
172,-73.91554707,45.45509027,-13.59471798,
173,-73.91554689,45.45509024,-13.59300423,
174,-73.91554665,45.45509019,-13.59144211,
175,-73.91554647,45.45509013,-13.59051037,
176,-73.91554633,45.45509007,-13.58951092,
177,-73.91554607,45.45508984,-13.58857441,
178,-73.91554551,45.45508968,-13.58498287,
179,-73.91554551,45.45508968,-13.58498287,
180,-73.91554526,45.45508960,-13.58246422,
181,-73.91554518,45.45508948,-13.58014584,
182,-73.91554497,45.45508952,-13.57723808,
183,-73.91554454,45.45508926,-13.57464886,
184,-73.91554437,45.45508924,-13.57210064,
185,-73.91554405,45.45508914,-13.56926060,
186,-73.91554379,45.45508912,-13.56645107,
187,-73.91554358,45.45508909,-13.56520748,
188,-73.91554318,45.45508906,-13.56553936,
189,-73.91554268,45.45508899,-13.56720829,
190,-73.91554236,45.45508886,-13.57063961,
191,-73.91554198,45.45508875,-13.57591915,
192,-73.91554142,45.45508857,-13.58034515,
193,-73.91554084,45.45508845,-13.58428860,
194,-73.91554053,45.45508841,-13.58530331,
195,-73.91554007,45.45508835,-13.58883190,
196,-73.91553950,45.45508823,-13.59262848,
197,-73.91553831,45.45508806,-13.59873199,
198,-73.91553831,45.45508806,-13.59873199,
199,-73.91553789,45.45508801,-13.59954357,
200,-73.91553725,45.45508787,-13.60035610,
201,-73.91553664,45.45508780,-13.60000420,
202,-73.91553605,45.45508791,-13.59891319,
203,-73.91553541,45.45508788,-13.59853363,
204,-73.91553476,45.45508781,-13.59808350,
205,-73.91553403,45.45508782,-13.59829330,
206,-73.91553357,45.45508780,-13.59870720,
207,-73.91553300,45.45508779,-13.59869576,
208,-73.91553255,45.45508778,-13.59735203,
209,-73.91553225,45.45508774,-13.59575367,
210,-73.91553169,45.45508760,-13.59292984,
211,-73.91553133,45.45508754,-13.59016037,
212,-73.91553083,45.45508744,-13.58910847,
213,-73.91553061,45.45508736,-13.58884716,
214,-73.91553026,45.45508728,-13.58792877,
215,-73.91552978,45.45508735,-13.58512211,
216,-73.91552944,45.45508729,-13.58130074,
217,-73.91552908,45.45508715,-13.57653713,
218,-73.91552869,45.45508705,-13.57305431,
219,-73.91552844,45.45508682,-13.56881237,
220,-73.91552794,45.45508696,-13.56435966,
221,-73.91552758,45.45508694,-13.56025887,
222,-73.91552724,45.45508688,-13.55874157,
223,-73.91552686,45.45508676,-13.56119919,
224,-73.91552641,45.45508663,-13.56382179,
225,-73.91552568,45.45508650,-13.56761169,
226,-73.91552568,45.45508650,-13.56761169,
227,-73.91552528,45.45508650,-13.56934738,
228,-73.91552469,45.45508665,-13.57079601,
229,-73.91552421,45.45508660,-13.57175446,
230,-73.91552376,45.45508673,-13.57429790,
231,-73.91552324,45.45508674,-13.57882214,
232,-73.91552267,45.45508675,-13.58267689,
233,-73.91552189,45.45508664,-13.58483315,
234,-73.91552140,45.45508658,-13.58752918,
235,-73.91552090,45.45508669,-13.58952332,
236,-73.91552042,45.45508653,-13.59265900,
237,-73.91552002,45.45508651,-13.59522057,
238,-73.91551961,45.45508670,-13.60006714,
239,-73.91551910,45.45508674,-13.60373783,
240,-73.91551872,45.45508683,-13.60459328,
241,-73.91551819,45.45508707,-13.60528851,
242,-73.91551775,45.45508722,-13.60589504,
243,-73.91551720,45.45508739,-13.60809994,
244,-73.91551673,45.45508741,-13.61054897,
245,-73.91551625,45.45508765,-13.61085606,
246,-73.91551570,45.45508783,-13.60834026,
247,-73.91551533,45.45508791,-13.60871410,
248,-73.91551488,45.45508798,-13.60731792,
249,-73.91551441,45.45508799,-13.60361385,
250,-73.91551396,45.45508811,-13.60011387,
