index,x,y,z,
149,0.91387391,0.29250695,0.00048351,
150,0.83602459,0.25090243,0.00095177,
151,0.77370822,0.22049166,0.00017357,
152,0.70150702,0.21186663,-0.00175571,
153,0.65084979,0.18054081,-0.00223255,
154,0.58882668,0.15678955,-0.00187969,
155,0.51211843,0.13441301,-0.00053215,
156,0.45575584,0.12442852,0.00080585,
157,0.40265100,0.09454132,0.00197601,
158,0.28579213,0.06243635,0.00191402,
159,0.28579213,0.06243635,0.00191402,
160,0.22601349,0.03913284,0.00239658,
161,0.16651999,0.00716042,0.00355148,
162,0.09193270,-0.00940967,0.00428486,
163,0.02414605,-0.04092527,0.00478077,
164,-0.03014563,-0.06407047,0.00619984,
165,-0.08925480,-0.09919764,0.00824451,
166,-0.15852870,-0.14836575,0.00776482,
167,-0.19107806,-0.16424586,0.00552750,
168,-0.21964678,-0.17064883,0.00307846,
169,-0.22567876,-0.18262316,0.00277519,
170,-0.22961982,-0.19308306,0.00066376,
171,-0.23132404,-0.21480395,0.00272560,
172,-0.22286209,-0.22434022,0.00498772,
173,-0.20883927,-0.22712447,0.00670147,
174,-0.19034086,-0.23260810,0.00826359,
175,-0.17612636,-0.23976972,0.00919533,
176,-0.16532410,-0.24589564,0.01019478,
177,-0.14462461,-0.27167251,0.01113129,
178,-0.10118096,-0.28979447,0.01472282,
179,-0.10118096,-0.28979447,0.01472282,
180,-0.08173222,-0.29901268,0.01724148,
181,-0.07529730,-0.31216600,0.01955986,
182,-0.05662628,-0.30886462,0.02254295,
183,-0.02569578,-0.33611062,0.02505684,
184,-0.01215028,-0.33907654,0.02760506,
185,0.01310777,-0.34950783,0.03044510,
186,0.03315733,-0.35195449,0.03325462,
187,0.04915473,-0.35545304,0.03449821,
188,0.08085818,-0.35829881,0.03416634,
189,0.11974660,-0.36702850,0.03249741,
190,0.14474001,-0.38105014,0.02906609,
191,0.17465103,-0.39373806,0.02378654,
192,0.21803222,-0.41365460,0.01936054,
193,0.26312668,-0.42667797,0.01541710,
194,0.28732710,-0.43077758,0.01440239,
195,0.32386329,-0.43740014,0.01087379,
196,0.36836409,-0.45070056,0.00707722,
197,0.46073120,-0.47036794,0.00097370,
198,0.46073120,-0.47036794,0.00097370,
199,0.49361483,-0.47598914,0.00016212,
