index,x,y,z,
0,0.01341631,-0.01715088,0.00581455,
1,0.01341631,-0.01715088,0.00581455,
2,0.01287558,-0.01594925,0.00995541,
3,0.01156618,-0.01688099,0.01288605,
4,0.01309778,-0.01582146,0.01057243,
5,0.01376822,-0.01617146,0.00635719,
6,0.02788739,-0.03377629,0.00113869,
7,0.02639870,-0.03597069,-0.00727272,
8,0.02639870,-0.03597069,-0.00727272,
9,0.03550249,-0.04318810,-0.01021385,
10,0.05579862,-0.02498627,-0.00886154,
11,0.07182705,-0.03796005,-0.00398445,
12,0.07850946,-0.02017498,-0.00044823,
13,0.09387890,-0.00815296,-0.00098515,
14,0.12197991,-0.00401974,-0.00219345,
15,0.14764905,0.01276493,-0.00269413,
16,0.17222909,0.03850747,-0.00279331,
17,0.20361456,0.07588864,-0.00384426,
18,0.26222938,0.13032151,-0.00586796,
19,0.31797936,0.16919900,-0.00696468,
20,0.44602749,0.27337935,-0.00788593,
21,0.44602749,0.27337935,-0.00788593,
22,0.52498422,0.32767394,-0.00811863,
23,0.60970591,0.40347007,-0.00740433,
24,0.71128667,0.47145943,-0.00497723,
25,0.81132630,0.55030922,-0.00411510,
26,0.90704481,0.64446168,-0.00415325,
27,1.01512583,0.72614962,-0.00266552,
28,1.12001678,0.83140666,-0.00021458,
29,1.22759425,0.92883117,0.00141048,
30,1.34564306,1.03823622,0.00319195,
31,1.52263760,1.19616994,0.00139523,
32,1.52263760,1.19616994,0.00139523,
33,1.56287412,1.22347936,-0.00159550,
34,1.59763464,1.24604091,-0.00473309,
35,1.63430632,1.27030430,-0.00509930,
36,1.67352909,1.30295525,-0.00685120,
37,1.70912502,1.33120976,-0.00630283,
38,1.73296977,1.33936129,-0.00463486,
39,1.75017979,1.37603436,-0.00187969,
40,1.78830392,1.39874946,0.00190067,
41,1.81264458,1.42499982,0.00368214,
42,1.86271539,1.47432434,-0.00177860,
43,1.86271539,1.47432434,-0.00177860,
44,1.91606114,1.50693619,-0.00301266,
45,1.96644572,1.54225409,-0.00226307,
46,2.01170047,1.57663739,-0.00328732,
47,2.03199658,1.61690199,-0.00879097,
48,2.07723036,1.65035498,-0.01402378,
49,2.11926265,1.67460883,-0.01640892,
50,2.17378046,1.71336616,-0.01524734,
51,2.21658045,1.74112047,-0.00914001,
52,2.25034628,1.76161255,-0.00034809,
53,2.28061402,1.79677929,0.00883961,
54,2.29706396,1.84790768,0.01237106,
55,2.32331100,1.88615575,0.00975513,
56,2.33464066,1.90763249,0.00451660,
57,2.35212629,1.94238630,0.00167942,
58,2.36193197,1.95328632,0.00036812,
59,2.39054032,1.98661151,-0.00000858,
60,2.42297291,2.02129570,0.00007534,
61,2.46329048,2.04337421,0.00067329,
62,2.50659115,2.07583443,0.00081158,
63,2.55692613,2.10898224,-0.00152874,
64,2.62206978,2.15365140,-0.00248241,
65,2.65820549,2.17674653,-0.00351715,
66,2.72780090,2.22293393,-0.00223351,
67,2.79104100,2.26939075,-0.00098610,
68,2.86382550,2.32013052,0.00133133,
69,2.93906188,2.38712424,0.00790501,
70,2.99855022,2.43435687,0.01395321,
71,3.06833826,2.48173065,0.01923752,
72,3.13118068,2.54492111,0.02006340,
73,3.21363542,2.61951466,0.01801205,
74,3.30943589,2.69562408,0.01396656,
75,3.40928279,2.79155895,0.01062393,
76,3.49109285,2.85153172,0.00711632,
77,3.57814429,2.94408772,0.00210190,
78,3.67742567,3.01659749,-0.00088978,
79,3.75475345,3.07856010,0.00174236,
80,3.83495465,3.13905691,0.00451469,
81,3.89706273,3.17647767,0.00564003,
82,3.93204733,3.22693563,0.00640106,
83,3.98731088,3.26614023,0.00546837,
84,4.01925136,3.29979206,0.00451946,
85,4.03669404,3.35619617,0.00381184,
86,4.06917620,3.38985897,0.00499630,
87,4.09547950,3.42441822,0.00916386,
88,4.10377074,3.43537690,0.01287270,
89,4.11943198,3.45603301,0.01669407,
90,4.15077642,3.47824695,0.01875877,
