index,lon,lat,alt,
0,-73.91534260,45.45496068,-13.47788620,
1,-73.91534260,45.45496068,-13.47788620,
2,-73.91534261,45.45496069,-13.47374535,
3,-73.91534262,45.45496068,-13.47081470,
4,-73.91534261,45.45496069,-13.47312832,
5,-73.91534260,45.45496069,-13.47734356,
6,-73.91534242,45.45496053,-13.48256207,
7,-73.91534243,45.45496051,-13.49097347,
8,-73.91534243,45.45496051,-13.49097347,
9,-73.91534232,45.45496044,-13.49391460,
10,-73.91534206,45.45496061,-13.49256229,
11,-73.91534185,45.45496049,-13.48768520,
12,-73.91534177,45.45496065,-13.48414898,
13,-73.91534157,45.45496076,-13.48468590,
14,-73.91534121,45.45496079,-13.48589420,
15,-73.91534088,45.45496094,-13.48639488,
16,-73.91534057,45.45496118,-13.48649406,
17,-73.91534017,45.45496151,-13.48754501,
18,-73.91533941,45.45496200,-13.48956871,
19,-73.91533870,45.45496235,-13.49066544,
20,-73.91533706,45.45496329,-13.49158669,
21,-73.91533706,45.45496329,-13.49158669,
22,-73.91533605,45.45496377,-13.49181938,
23,-73.91533496,45.45496445,-13.49110508,
24,-73.91533366,45.45496507,-13.48867798,
25,-73.91533238,45.45496577,-13.48781586,
26,-73.91533116,45.45496662,-13.48785400,
27,-73.91532977,45.45496735,-13.48636627,
28,-73.91532843,45.45496830,-13.48391533,
29,-73.91532705,45.45496917,-13.48229027,
30,-73.91532554,45.45497016,-13.48050880,
31,-73.91532327,45.45497158,-13.48230553,
32,-73.91532327,45.45497158,-13.48230553,
33,-73.91532276,45.45497182,-13.48529625,
34,-73.91532231,45.45497202,-13.48843384,
35,-73.91532184,45.45497224,-13.48880005,
36,-73.91532134,45.45497253,-13.49055195,
37,-73.91532089,45.45497279,-13.49000359,
38,-73.91532058,45.45497286,-13.48833561,
39,-73.91532036,45.45497319,-13.48558044,
40,-73.91531987,45.45497340,-13.48180008,
41,-73.91531956,45.45497363,-13.48001862,
42,-73.91531892,45.45497407,-13.48547935,
43,-73.91531892,45.45497407,-13.48547935,
44,-73.91531824,45.45497437,-13.48671341,
45,-73.91531759,45.45497468,-13.48596382,
46,-73.91531701,45.45497499,-13.48698807,
47,-73.91531675,45.45497536,-13.49249172,
48,-73.91531617,45.45497566,-13.49772453,
49,-73.91531563,45.45497587,-13.50010967,
50,-73.91531493,45.45497622,-13.49894810,
51,-73.91531439,45.45497647,-13.49284077,
52,-73.91531395,45.45497666,-13.48404884,
53,-73.91531357,45.45497697,-13.47486115,
54,-73.91531336,45.45497743,-13.47132969,
55,-73.91531302,45.45497777,-13.47394562,
56,-73.91531287,45.45497797,-13.47918415,
57,-73.91531265,45.45497828,-13.48202133,
58,-73.91531253,45.45497838,-13.48333263,
59,-73.91531216,45.45497868,-13.48370934,
60,-73.91531174,45.45497899,-13.48362541,
61,-73.91531123,45.45497919,-13.48302746,
62,-73.91531067,45.45497948,-13.48288918,
63,-73.91531003,45.45497978,-13.48522949,
64,-73.91530919,45.45498018,-13.48618317,
65,-73.91530873,45.45498038,-13.48721790,
66,-73.91530784,45.45498080,-13.48593426,
67,-73.91530703,45.45498122,-13.48468685,
68,-73.91530610,45.45498167,-13.48236942,
69,-73.91530513,45.45498227,-13.47579575,
70,-73.91530437,45.45498270,-13.46974754,
71,-73.91530348,45.45498312,-13.46446323,
72,-73.91530267,45.45498369,-13.46363735,
73,-73.91530162,45.45498436,-13.46568871,
74,-73.91530039,45.45498505,-13.46973419,
75,-73.91529911,45.45498591,-13.47307682,
76,-73.91529807,45.45498645,-13.47658443,
77,-73.91529695,45.45498728,-13.48159885,
78,-73.91529568,45.45498793,-13.48459053,
79,-73.91529469,45.45498849,-13.48195839,
80,-73.91529366,45.45498903,-13.47918606,
81,-73.91529287,45.45498937,-13.47806072,
82,-73.91529242,45.45498982,-13.47729969,
83,-73.91529171,45.45499017,-13.47823238,
84,-73.91529130,45.45499047,-13.47918129,
85,-73.91529108,45.45499098,-13.47988892,
86,-73.91529066,45.45499128,-13.47870445,
87,-73.91529033,45.45499159,-13.47453690,
88,-73.91529022,45.45499169,-13.47082806,
89,-73.91529002,45.45499188,-13.46700668,
90,-73.91528962,45.45499208,-13.46494198,
91,-73.91528931,45.45499226,-13.46440983,
92,-73.91528904,45.45499245,-13.46415615,
93,-73.91528866,45.45499260,-13.46371841,
94,-73.91528842,45.45499281,-13.46242523,
95,-73.91528804,45.45499306,-13.46171951,
96,-73.91528753,45.45499339,-13.46339989,
97,-73.91528707,45.45499364,-13.46627235,
98,-73.91528642,45.45499402,-13.46747684,
99,-73.91528581,45.45499455,-13.47011948,
100,-73.91528491,45.45499515,-13.47326565,
101,-73.91528407,45.45499572,-13.47814178,
102,-73.91528317,45.45499638,-13.48163605,
103,-73.91528242,45.45499709,-13.48339176,
104,-73.91528157,45.45499764,-13.48486519,
105,-73.91528045,45.45499857,-13.48429108,
106,-73.91527938,45.45499930,-13.48563671,
107,-73.91527822,45.45499987,-13.48890305,
108,-73.91527721,45.45500054,-13.49058056,
109,-73.91527636,45.45500129,-13.48948956,
110,-73.91527553,45.45500167,-13.48684502,
111,-73.91527468,45.45500218,-13.48388863,
112,-73.91527377,45.45500284,-13.48256969,
113,-73.91527299,45.45500336,-13.48015499,
114,-73.91527176,45.45500407,-13.47669220,
115,-73.91527071,45.45500473,-13.47805119,
116,-73.91526956,45.45500546,-13.48234844,
117,-73.91526817,45.45500640,-13.48731709,
118,-73.91526690,45.45500729,-13.48839474,
119,-73.91526576,45.45500820,-13.48861408,
120,-73.91526463,45.45500882,-13.48871136,
121,-73.91526342,45.45500962,-13.48801422,
122,-73.91526210,45.45501037,-13.48784542,
123,-73.91526080,45.45501122,-13.48904514,
124,-73.91525954,45.45501197,-13.48988152,
125,-73.91525815,45.45501288,-13.48903751,
126,-73.91525703,45.45501364,-13.48889637,
127,-73.91525581,45.45501461,-13.48898888,
128,-73.91525432,45.45501549,-13.48919010,
129,-73.91525313,45.45501612,-13.49009037,
130,-73.91525187,45.45501691,-13.48820591,
131,-73.91525088,45.45501752,-13.48484135,
132,-73.91524994,45.45501807,-13.47927380,
133,-73.91524867,45.45501883,-13.47282314,
134,-73.91524775,45.45501950,-13.46649837,
135,-73.91524618,45.45502070,-13.46334171,
136,-73.91524618,45.45502070,-13.46334171,
137,-73.91524525,45.45502124,-13.46566200,
138,-73.91524434,45.45502193,-13.46737194,
139,-73.91524332,45.45502259,-13.46758270,
140,-73.91524242,45.45502329,-13.46788502,
141,-73.91524168,45.45502410,-13.46902943,
142,-73.91524074,45.45502469,-13.47103786,
143,-73.91524000,45.45502544,-13.47290516,
144,-73.91523921,45.45502608,-13.47410202,
145,-73.91523818,45.45502681,-13.47574520,
146,-73.91523719,45.45502770,-13.47792625,
147,-73.91523608,45.45502842,-13.48044491,
148,-73.91523496,45.45502925,-13.48348618,
149,-73.91523399,45.45502992,-13.48657894,
150,-73.91523307,45.45503049,-13.48958969,
151,-73.91523257,45.45503095,-13.49219131,
152,-73.91523188,45.45503141,-13.49483585,
153,-73.91523121,45.45503189,-13.49823952,
154,-73.91522997,45.45503275,-13.50159264,
155,-73.91522997,45.45503275,-13.50159264,
156,-73.91522945,45.45503317,-13.50259876,
157,-73.91522915,45.45503346,-13.50252914,
158,-73.91522828,45.45503402,-13.50140190,
159,-73.91522768,45.45503448,-13.50119972,
160,-73.91522731,45.45503481,-13.50012302,
161,-73.91522668,45.45503523,-13.49887085,
162,-73.91522560,45.45503598,-13.49912643,
163,-73.91522560,45.45503598,-13.49912643,
164,-73.91522482,45.45503650,-13.50066471,
165,-73.91522414,45.45503711,-13.50257206,
166,-73.91522343,45.45503747,-13.50464630,
167,-73.91522259,45.45503802,-13.50712490,
168,-73.91522175,45.45503857,-13.50866222,
169,-73.91522109,45.45503897,-13.50844193,
170,-73.91522029,45.45503953,-13.50784397,
171,-73.91521947,45.45503987,-13.50662518,
172,-73.91521895,45.45504026,-13.50732899,
173,-73.91521858,45.45504043,-13.50826740,
174,-73.91521846,45.45504034,-13.50948906,
175,-73.91521863,45.45504028,-13.51012993,
176,-73.91521866,45.45504033,-13.51014996,
177,-73.91521866,45.45504026,-13.50936413,
178,-73.91521862,45.45504017,-13.50800610,
179,-73.91521858,45.45504003,-13.50563049,
180,-73.91521857,45.45503986,-13.50374889,
181,-73.91521857,45.45503986,-13.50374889,
182,-73.91521866,45.45503983,-13.50398540,
183,-73.91521895,45.45503968,-13.50183773,
184,-73.91521895,45.45503968,-13.50183773,
185,-73.91521905,45.45503958,-13.49910450,
186,-73.91521946,45.45503934,-13.49736786,
187,-73.91521946,45.45503934,-13.49736786,
188,-73.91521967,45.45503920,-13.49658394,
189,-73.91521998,45.45503900,-13.49490547,
190,-73.91522055,45.45503870,-13.49261761,
191,-73.91522089,45.45503853,-13.49041271,
192,-73.91522142,45.45503813,-13.48877716,
193,-73.91522203,45.45503779,-13.48704815,
194,-73.91522255,45.45503750,-13.48442650,
195,-73.91522315,45.45503713,-13.48282051,
196,-73.91522357,45.45503685,-13.48272705,
197,-73.91522418,45.45503649,-13.48380661,
198,-73.91522467,45.45503620,-13.48513222,
199,-73.91522514,45.45503578,-13.48589706,
200,-73.91522610,45.45503506,-13.48712540,
201,-73.91522610,45.45503506,-13.48712540,
202,-73.91522651,45.45503485,-13.48713875,
203,-73.91522754,45.45503405,-13.49089909,
204,-73.91522754,45.45503405,-13.49089909,
205,-73.91522807,45.45503362,-13.49459934,
206,-73.91522844,45.45503330,-13.49674702,
207,-73.91522857,45.45503321,-13.49751282,
208,-73.91522874,45.45503287,-13.49792004,
209,-73.91522898,45.45503253,-13.49873161,
210,-73.91522913,45.45503232,-13.49773788,
211,-73.91522934,45.45503193,-13.49261093,
212,-73.91522934,45.45503193,-13.49261093,
213,-73.91522944,45.45503192,-13.48823643,
214,-73.91522957,45.45503180,-13.48490334,
215,-73.91522970,45.45503179,-13.48551750,
216,-73.91522990,45.45503167,-13.48737621,
217,-73.91523016,45.45503162,-13.49011230,
218,-73.91523033,45.45503155,-13.49438381,
219,-73.91523041,45.45503142,-13.49992847,
220,-73.91523065,45.45503122,-13.50609493,
221,-73.91523098,45.45503105,-13.50977230,
222,-73.91523138,45.45503077,-13.51065826,
223,-73.91523173,45.45503047,-13.50891876,
224,-73.91523207,45.45503026,-13.50692081,
225,-73.91523245,45.45502979,-13.50399208,
226,-73.91523304,45.45502935,-13.49860477,
227,-73.91523362,45.45502891,-13.49176311,
228,-73.91523412,45.45502860,-13.48666763,
229,-73.91523474,45.45502811,-13.48199844,
230,-73.91523550,45.45502757,-13.47748470,
231,-73.91523628,45.45502703,-13.47316933,
232,-73.91523777,45.45502610,-13.47294521,
233,-73.91523777,45.45502610,-13.47294521,
234,-73.91523859,45.45502568,-13.47575855,
235,-73.91523926,45.45502524,-13.48054504,
236,-73.91523999,45.45502468,-13.48657131,
237,-73.91524053,45.45502427,-13.49033642,
238,-73.91524097,45.45502395,-13.49182796,
239,-73.91524156,45.45502347,-13.49205208,
240,-73.91524236,45.45502290,-13.49183655,
241,-73.91524336,45.45502252,-13.48813248,
242,-73.91524413,45.45502194,-13.48728943,
243,-73.91524506,45.45502126,-13.48762035,
244,-73.91524589,45.45502071,-13.49062824,
245,-73.91524697,45.45501992,-13.49597073,
246,-73.91524805,45.45501912,-13.49732876,
247,-73.91524914,45.45501845,-13.49785328,
248,-73.91525023,45.45501789,-13.49704361,
249,-73.91525123,45.45501731,-13.49617481,
250,-73.91525226,45.45501653,-13.49365807,
251,-73.91525360,45.45501584,-13.48977661,
252,-73.91525440,45.45501537,-13.48764038,
253,-73.91525591,45.45501445,-13.48632908,
254,-73.91525700,45.45501383,-13.48560429,
255,-73.91525827,45.45501324,-13.48164463,
256,-73.91525941,45.45501255,-13.47740841,
257,-73.91526067,45.45501204,-13.48371124,
258,-73.91526167,45.45501152,-13.48904514,
259,-73.91526266,45.45501084,-13.49643803,
260,-73.91526357,45.45501034,-13.50000668,
261,-73.91526448,45.45500989,-13.50160122,
262,-73.91526564,45.45500933,-13.50436878,
263,-73.91526665,45.45500872,-13.50920963,
264,-73.91526766,45.45500807,-13.51115894,
265,-73.91526870,45.45500746,-13.51310158,
266,-73.91526968,45.45500689,-13.51446629,
267,-73.91527064,45.45500630,-13.51452065,
268,-73.91527184,45.45500561,-13.51165581,
269,-73.91527290,45.45500492,-13.50924206,
270,-73.91527385,45.45500431,-13.50784492,
271,-73.91527506,45.45500360,-13.50720215,
272,-73.91527895,45.45500123,-13.50572109,
273,-73.91528044,45.45500032,-13.50348282,
274,-73.91528169,45.45499949,-13.50356007,
275,-73.91528312,45.45499853,-13.50035572,
276,-73.91528439,45.45499766,-13.49728394,
277,-73.91528579,45.45499670,-13.49602890,
278,-73.91528712,45.45499569,-13.49193478,
279,-73.91529032,45.45499361,-13.48672199,
280,-73.91529032,45.45499361,-13.48672199,
281,-73.91529186,45.45499253,-13.48586845,
282,-73.91529320,45.45499151,-13.48395729,
283,-73.91529470,45.45499051,-13.48122978,
284,-73.91529638,45.45498928,-13.47676468,
285,-73.91529832,45.45498810,-13.47440434,
286,-73.91530007,45.45498694,-13.47343540,
287,-73.91530156,45.45498587,-13.47197819,
288,-73.91530328,45.45498465,-13.47448444,
289,-73.91530503,45.45498362,-13.47591782,
290,-73.91530644,45.45498263,-13.47965813,
291,-73.91530808,45.45498162,-13.48001671,
292,-73.91530957,45.45498073,-13.47948265,
293,-73.91531098,45.45497992,-13.47986412,
294,-73.91531345,45.45497811,-13.48174953,
295,-73.91531345,45.45497811,-13.48174953,
296,-73.91531460,45.45497735,-13.48286724,
297,-73.91531591,45.45497641,-13.48455524,
298,-73.91531813,45.45497479,-13.48665047,
299,-73.91531813,45.45497479,-13.48665047,
300,-73.91531921,45.45497408,-13.48712444,
301,-73.91532025,45.45497318,-13.48681068,
302,-73.91532137,45.45497238,-13.48337841,
303,-73.91532276,45.45497163,-13.47724724,
304,-73.91532392,45.45497097,-13.47118950,
305,-73.91532509,45.45497029,-13.46809292,
306,-73.91532669,45.45496941,-13.46339703,
307,-73.91532808,45.45496863,-13.46316433,
308,-73.91532956,45.45496783,-13.46482563,
309,-73.91533113,45.45496711,-13.46592140,
310,-73.91533257,45.45496625,-13.46770954,
311,-73.91533423,45.45496539,-13.46858788,
312,-73.91533585,45.45496449,-13.46827984,
313,-73.91533768,45.45496362,-13.46860218,
314,-73.91533913,45.45496272,-13.46745014,
315,-73.91534068,45.45496186,-13.46753502,
316,-73.91534248,45.45496081,-13.46789932,
317,-73.91534423,45.45495978,-13.46933365,
318,-73.91534588,45.45495874,-13.47091293,
319,-73.91534731,45.45495780,-13.46990871,
320,-73.91534838,45.45495725,-13.47008514,
321,-73.91534901,45.45495690,-13.47077656,
322,-73.91534942,45.45495676,-13.47123814,
323,-73.91534976,45.45495644,-13.47358704,
324,-73.91534992,45.45495626,-13.47493267,
325,-73.91535008,45.45495605,-13.47711754,
326,-73.91535012,45.45495602,-13.48097706,
327,-73.91535012,45.45495623,-13.48613453,
328,-73.91534976,45.45495627,-13.49012184,
329,-73.91534957,45.45495636,-13.49452019,
330,-73.91534944,45.45495651,-13.49618053,
331,-73.91534913,45.45495664,-13.49808502,
332,-73.91534866,45.45495678,-13.49862289,
333,-73.91534829,45.45495709,-13.49754238,
334,-73.91534782,45.45495736,-13.49677753,
335,-73.91534718,45.45495748,-13.49271107,
336,-73.91534649,45.45495771,-13.49193096,
337,-73.91534578,45.45495799,-13.49119473,
338,-73.91534497,45.45495829,-13.48928165,
339,-73.91534410,45.45495859,-13.48670006,
340,-73.91534341,45.45495880,-13.48559189,
341,-73.91534278,45.45495895,-13.48757076,
342,-73.91534213,45.45495901,-13.49006081,
343,-73.91534135,45.45495929,-13.49047756,
344,-73.91534076,45.45495944,-13.49016094,
345,-73.91534000,45.45495966,-13.48690701,
346,-73.91533926,45.45496003,-13.48195839,
347,-73.91533835,45.45496038,-13.47386074,
348,-73.91533771,45.45496042,-13.46997261,
349,-73.91533703,45.45496071,-13.46719933,
350,-73.91533637,45.45496096,-13.46642971,
351,-73.91533581,45.45496108,-13.46856689,
352,-73.91533533,45.45496147,-13.47279835,
353,-73.91533471,45.45496149,-13.47741318,
354,-73.91533441,45.45496171,-13.48141193,
355,-73.91533396,45.45496188,-13.48460102,
356,-73.91533349,45.45496218,-13.48401546,
357,-73.91533297,45.45496235,-13.48028851,
358,-73.91533233,45.45496255,-13.47556877,
359,-73.91533171,45.45496278,-13.47283840,
360,-73.91533074,45.45496323,-13.47241306,
361,-73.91532978,45.45496360,-13.47479248,
362,-73.91532883,45.45496401,-13.47948647,
363,-73.91532777,45.45496464,-13.48386383,
364,-73.91532661,45.45496524,-13.48605824,
365,-73.91532530,45.45496587,-13.48560238,
366,-73.91532400,45.45496649,-13.48604107,
367,-73.91532217,45.45496731,-13.48651600,
368,-73.91532079,45.45496819,-13.48858070,
369,-73.91531924,45.45496888,-13.49033546,
370,-73.91531767,45.45496968,-13.49122524,
371,-73.91531602,45.45497047,-13.49188709,
372,-73.91531446,45.45497134,-13.49245453,
373,-73.91531295,45.45497216,-13.49265671,
374,-73.91531165,45.45497283,-13.49519062,
375,-73.91531020,45.45497367,-13.49663544,
376,-73.91530908,45.45497422,-13.49744701,
377,-73.91530814,45.45497467,-13.49674225,
378,-73.91530721,45.45497512,-13.49507523,
379,-73.91530628,45.45497550,-13.49556351,
380,-73.91530547,45.45497592,-13.49392223,
381,-73.91530474,45.45497638,-13.49176025,
382,-73.91530354,45.45497701,-13.48941517,
383,-73.91530354,45.45497701,-13.48941517,
384,-73.91530300,45.45497736,-13.48316860,
385,-73.91530230,45.45497776,-13.48006535,
386,-73.91530152,45.45497828,-13.47910690,
387,-73.91530094,45.45497870,-13.47875309,
388,-73.91530012,45.45497900,-13.48101807,
389,-73.91529936,45.45497962,-13.48626137,
390,-73.91529854,45.45498019,-13.48916149,
391,-73.91529771,45.45498077,-13.49042034,
392,-73.91529670,45.45498146,-13.49037075,
393,-73.91529580,45.45498207,-13.49041653,
394,-73.91529470,45.45498262,-13.48926449,
395,-73.91529356,45.45498332,-13.48998165,
396,-73.91529239,45.45498415,-13.49212837,
397,-73.91529171,45.45498466,-13.49439430,
398,-73.91529096,45.45498514,-13.49690342,
399,-73.91529024,45.45498565,-13.49679089,
400,-73.91528963,45.45498611,-13.49641991,
401,-73.91528889,45.45498686,-13.49722099,
402,-73.91528834,45.45498723,-13.49842834,
403,-73.91528796,45.45498771,-13.49837399,
404,-73.91528729,45.45498824,-13.49793243,
405,-73.91528678,45.45498870,-13.49800396,
406,-73.91528601,45.45498929,-13.49884987,
407,-73.91528528,45.45498997,-13.49992657,
408,-73.91528460,45.45499054,-13.49933815,
409,-73.91528370,45.45499116,-13.49935913,
410,-73.91528293,45.45499188,-13.50266457,
411,-73.91528215,45.45499276,-13.50533962,
412,-73.91528143,45.45499340,-13.50583458,
413,-73.91528064,45.45499412,-13.50678921,
414,-73.91527943,45.45499500,-13.50259876,
415,-73.91527823,45.45499581,-13.49624252,
416,-73.91527700,45.45499660,-13.49212265,
417,-73.91527415,45.45499825,-13.49173355,
418,-73.91527415,45.45499825,-13.49173355,
419,-73.91527249,45.45499918,-13.48915482,
420,-73.91527065,45.45500026,-13.48850346,
421,-73.91526890,45.45500112,-13.48703957,
422,-73.91526727,45.45500215,-13.48738861,
423,-73.91526524,45.45500335,-13.48825550,
424,-73.91526358,45.45500436,-13.48973370,
425,-73.91526164,45.45500555,-13.48715878,
426,-73.91525949,45.45500696,-13.48559666,
427,-73.91525769,45.45500814,-13.48679161,
428,-73.91525593,45.45500928,-13.48666954,
429,-73.91525418,45.45501036,-13.48336697,
430,-73.91525254,45.45501125,-13.48044014,
431,-73.91525070,45.45501235,-13.48006439,
432,-73.91524896,45.45501332,-13.47872639,
433,-73.91524754,45.45501419,-13.47547531,
434,-73.91524609,45.45501521,-13.47496223,
435,-73.91524456,45.45501629,-13.47140980,
436,-73.91524321,45.45501708,-13.47017956,
437,-73.91524156,45.45501814,-13.46889782,
438,-73.91524001,45.45501914,-13.46724701,
439,-73.91523853,45.45502011,-13.46497440,
440,-73.91523700,45.45502105,-13.46304321,
441,-73.91523527,45.45502218,-13.46255779,
442,-73.91523381,45.45502312,-13.46209049,
443,-73.91523215,45.45502406,-13.46177292,
444,-73.91523058,45.45502501,-13.46131992,
445,-73.91522869,45.45502631,-13.46404839,
446,-73.91522680,45.45502742,-13.46566868,
447,-73.91522492,45.45502837,-13.46996498,
448,-73.91522296,45.45502934,-13.47328854,
449,-73.91522124,45.45503035,-13.47730827,
450,-73.91521947,45.45503141,-13.48351860,
451,-73.91521796,45.45503224,-13.48796749,
452,-73.91521677,45.45503292,-13.48753738,
453,-73.91521591,45.45503312,-13.48446941,
454,-73.91521522,45.45503329,-13.48071480,
455,-73.91521491,45.45503338,-13.47784519,
456,-73.91521473,45.45503364,-13.47270298,
457,-73.91521472,45.45503365,-13.46780777,
458,-73.91521477,45.45503361,-13.46257019,
459,-73.91521486,45.45503354,-13.45885658,
460,-73.91521489,45.45503339,-13.45878506,
461,-73.91521519,45.45503350,-13.46649170,
462,-73.91521519,45.45503350,-13.46649170,
463,-73.91521521,45.45503347,-13.47047710,
464,-73.91521529,45.45503346,-13.47636795,
465,-73.91521543,45.45503348,-13.48018360,
466,-73.91521555,45.45503331,-13.48214912,
467,-73.91521552,45.45503328,-13.48338413,
468,-73.91521559,45.45503317,-13.48398209,
469,-73.91521578,45.45503319,-13.48154354,
470,-73.91521597,45.45503310,-13.47835827,
471,-73.91521617,45.45503305,-13.47583866,
472,-73.91521639,45.45503281,-13.47519207,
473,-73.91521674,45.45503267,-13.47757244,
474,-73.91521732,45.45503260,-13.48416805,
475,-73.91521762,45.45503264,-13.49276447,
476,-73.91521810,45.45503256,-13.50309753,
477,-73.91521858,45.45503254,-13.51066875,
478,-73.91521912,45.45503232,-13.51677513,
479,-73.91521967,45.45503228,-13.51800728,
480,-73.91522025,45.45503206,-13.51683617,
481,-73.91522068,45.45503188,-13.51528168,
482,-73.91522107,45.45503156,-13.51316452,
483,-73.91522159,45.45503138,-13.51144695,
484,-73.91522240,45.45503102,-13.50900459,
485,-73.91522311,45.45503074,-13.50624657,
486,-73.91522389,45.45503038,-13.50391388,
487,-73.91522484,45.45502987,-13.50074959,
488,-73.91522550,45.45502946,-13.49836063,
489,-73.91522655,45.45502891,-13.49448776,
490,-73.91522762,45.45502835,-13.49247265,
491,-73.91522873,45.45502780,-13.49279785,
492,-73.91522997,45.45502716,-13.49480915,
493,-73.91523136,45.45502644,-13.49713039,
494,-73.91523288,45.45502563,-13.49949169,
495,-73.91523420,45.45502492,-13.50118160,
496,-73.91523583,45.45502415,-13.50409603,
497,-73.91523731,45.45502325,-13.50740242,
498,-73.91523893,45.45502237,-13.50864220,
499,-73.91524061,45.45502145,-13.51005840,
500,-73.91524238,45.45502060,-13.51492310,
501,-73.91524398,45.45501979,-13.51858234,
502,-73.91524568,45.45501881,-13.52239895,
503,-73.91524743,45.45501788,-13.52374649,
504,-73.91524910,45.45501700,-13.52344799,
505,-73.91525072,45.45501612,-13.52310371,
506,-73.91525236,45.45501536,-13.52282047,
507,-73.91525382,45.45501450,-13.52303505,
508,-73.91525694,45.45501302,-13.52097893,
509,-73.91525694,45.45501302,-13.52097893,
510,-73.91525817,45.45501237,-13.52311897,
511,-73.91525925,45.45501188,-13.52622509,
512,-73.91526035,45.45501131,-13.52688980,
513,-73.91526145,45.45501074,-13.52914524,
514,-73.91526240,45.45501024,-13.53116417,
515,-73.91526341,45.45500951,-13.53451729,
516,-73.91526443,45.45500900,-13.53618908,
517,-73.91526572,45.45500838,-13.53842163,
518,-73.91526698,45.45500770,-13.53695965,
