index,x,y,z,
147,6.44122222,-4.81949449,12.70137882,
148,6.39874433,-4.82833347,12.70293522,
149,6.34939629,-4.84844486,12.70604801,
150,6.29359302,-4.86780513,12.70983505,
151,6.23814141,-4.88404114,12.71206474,
152,6.19258222,-4.91316538,12.71133232,
153,6.15773663,-4.93117498,12.70929718,
154,6.10851428,-4.92380188,12.70607567,
155,6.07215223,-4.93622922,12.70353031,
156,6.03853346,-4.94091194,12.70243549,
157,6.01738458,-4.96153949,12.70040321,
158,5.98050100,-4.96717696,12.69717884,
159,5.95344674,-4.96055521,12.69618416,
160,5.92153536,-4.97583087,12.69632912,
161,5.90043667,-4.98854325,12.69599628,
162,5.87145964,-4.99025289,12.69524288,
163,5.84478644,-5.01470991,12.69323444,
164,5.82146889,-5.03037653,12.69211006,
165,5.79224785,-5.04535894,12.69124222,
166,5.76829983,-5.05212721,12.69178104,
167,5.74263841,-5.07735160,12.69254112,
168,5.69740657,-5.10452644,12.69220352,
169,5.65967137,-5.12465844,12.69241142,
170,5.60934856,-5.16732572,12.69341660,
171,5.56843281,-5.18316836,12.69377136,
172,5.51865461,-5.20564773,12.69461441,
173,5.44888704,-5.21719461,12.69506645,
174,5.39673628,-5.24957084,12.69383049,
175,5.35338445,-5.26116054,12.69292355,
176,5.30842358,-5.29416233,12.69158936,
177,5.27269298,-5.30961403,12.69160271,
178,5.22328752,-5.32697251,12.69144821,
179,5.18434728,-5.34110171,12.68999958,
180,5.14949971,-5.35603462,12.68909454,
181,5.12273667,-5.37468000,12.68701458,
182,5.08583370,-5.37367988,12.68514061,
183,5.04878723,-5.39194401,12.68519592,
184,5.02225336,-5.39398475,12.68822861,
185,4.99389852,-5.38619668,12.69078350,
186,4.96326514,-5.39752008,12.68742943,
187,4.92840483,-5.39923269,12.67947292,
188,4.89148857,-5.40215043,12.67102528,
189,4.84331280,-5.38705831,12.66892815,
190,4.81835359,-5.38513197,12.67328930,
191,4.78624940,-5.39352756,12.68169212,
192,4.73314289,-5.38000608,12.68948841,
193,4.69666711,-5.38072041,12.69437695,
194,4.66322575,-5.38448263,12.69587135,
195,4.61953322,-5.38784531,12.69474697,
196,4.56067709,-5.38929542,12.69488430,
197,4.51909028,-5.40119666,12.69660473,
198,4.48465554,-5.39657863,12.69819736,
199,4.42896822,-5.39734382,12.69793320,
200,4.39242723,-5.39527718,12.69565201,
201,4.35664180,-5.40534245,12.69243813,
202,4.32774784,-5.39015840,12.69050503,
203,4.29114927,-5.38873965,12.69188023,
204,4.23660256,-5.39843932,12.69251442,
205,4.19952323,-5.40442499,12.69212055,
206,4.15116695,-5.42799165,12.69117832,
207,4.09170454,-5.44723917,12.69148540,
208,4.02848022,-5.44647610,12.69145966,
209,3.94814545,-5.47861030,12.68987083,
210,3.87561328,-5.48882456,12.68786144,
211,3.79611071,-5.51552851,12.68713379,
212,3.71409199,-5.53957692,12.68550873,
213,3.62943944,-5.54618447,12.68386269,
214,3.55761991,-5.56228210,12.68170834,
215,3.47777927,-5.59582848,12.68003559,
216,3.43131888,-5.59872897,12.68057537,
217,3.37890970,-5.60624122,12.68144798,
218,3.29233063,-5.63120782,12.68199825,
219,3.23363866,-5.64780254,12.68202209,
220,3.15484395,-5.66767653,12.68224525,
221,3.07041826,-5.68406450,12.68198586,
222,2.96917810,-5.70190883,12.68153954,
223,2.87449255,-5.72358512,12.68171120,
224,2.76644864,-5.74327590,12.68104744,
225,2.65195313,-5.76549860,12.68039131,
226,2.51600422,-5.78680306,12.68006706,
227,2.36982573,-5.80395892,12.68035030,
228,2.23065412,-5.82646748,12.68075848,
229,2.11845147,-5.84607146,12.68163967,
230,1.97739589,-5.88874057,12.68149567,
231,1.84026538,-5.90426379,12.68162727,
232,1.70257388,-5.94292726,12.68374825,
233,1.56235489,-5.95904686,12.68641090,
234,1.39538057,-5.98680076,12.68940544,
235,1.24549776,-6.00691823,12.68850899,
236,1.07793239,-6.02634267,12.68393326,
237,0.92250014,-6.02932507,12.67908382,
238,0.80818223,-6.03968150,12.67490578,
239,0.69324871,-6.03100867,12.67658234,
240,0.61281104,-6.03582299,12.68330193,
241,0.50891298,-6.05444542,12.68936920,
242,0.43482487,-6.03987665,12.69240093,
243,0.36684122,-6.03692640,12.69524670,
244,0.31976022,-6.02900562,12.69809151,
245,0.27233875,-6.03146321,12.69907093,
246,0.24135817,-6.04168204,12.70148468,
247,0.19706762,-6.05143831,12.70555782,
248,0.14112222,-6.07153208,12.71156979,
249,0.08916984,-6.07165859,12.71623707,
250,0.01140008,-6.10428218,12.71800041,
251,-0.06141916,-6.12443100,12.71736622,
252,-0.12607447,-6.13588934,12.71480465,
253,-0.19206016,-6.14193253,12.70695305,
254,-0.26661748,-6.16306965,12.69945812,
255,-0.33135576,-6.18898113,12.69575310,
256,-0.41378852,-6.21168452,12.69398975,
257,-0.50512621,-6.22184556,12.69563198,
258,-0.58681224,-6.26610910,12.69752216,
259,-0.66325593,-6.29282480,12.69670486,
260,-0.73221804,-6.32056844,12.69421005,
261,-0.78266265,-6.32472652,12.69255543,
262,-0.86643723,-6.34574235,12.68980598,
263,-0.95129519,-6.37314046,12.68915176,
264,-0.98866635,-6.37938363,12.68890476,
265,-1.05401404,-6.38304585,12.68820381,
266,-1.10150036,-6.39149064,12.68578529,
267,-1.17212091,-6.41469730,12.67860413,
268,-1.19949947,-6.41723896,12.67324734,
269,-1.22974335,-6.44216467,12.66390991,
270,-1.24426591,-6.44815726,12.65793514,
271,-1.25507342,-6.45796210,12.65587139,
272,-1.25000702,-6.46453870,12.65747833,
273,-1.23804556,-6.48608453,12.66181850,
274,-1.23451458,-6.49330569,12.66586685,
275,-1.23560176,-6.49842436,12.67100239,
276,-1.22443805,-6.50349863,12.67535210,
277,-1.22368179,-6.51217068,12.67949390,
278,-1.22599254,-6.50692685,12.68280602,
279,-1.21924148,-6.50531853,12.68353748,
280,-1.21293006,-6.50253017,12.68263626,
281,-1.20100579,-6.51624132,12.68449116,
282,-1.20116171,-6.51006646,12.68868923,
283,-1.19490084,-6.50932510,12.69132710,
284,-1.19015297,-6.52429236,12.69151211,
285,-1.18396362,-6.52136923,12.69088268,
286,-1.17363056,-6.51673086,12.68954086,
287,-1.16167577,-6.51282353,12.68634033,
288,-1.15557893,-6.51170165,12.68400860,
289,-1.15328343,-6.51184024,12.68436241,
290,-1.14398988,-6.50984658,12.68762112,
291,-1.13473924,-6.49558557,12.69249153,
292,-1.13257201,-6.49131800,12.69703197,
293,-1.13610537,-6.49768306,12.70005798,
294,-1.13282616,-6.49920864,12.70234203,
295,-1.13282616,-6.49920864,12.70234203,
296,-1.13282616,-6.49920864,12.70234203,
