index,x,y,z,
0,0.07137682,-0.05821205,0.00907707,
1,0.08000328,-0.06167365,0.01022816,
2,0.08983900,-0.05901087,0.01502228,
3,0.09524920,-0.06814182,0.01551723,
4,0.08847430,-0.06211210,0.01259708,
5,0.08439400,-0.08374650,0.00908661,
6,0.08923056,-0.07665968,0.00754642,
7,0.09118512,-0.06751067,0.00477219,
8,0.11302236,-0.06449944,0.00151920,
9,0.15451960,-0.05710739,0.00250721,
10,0.20486551,-0.02581328,0.00353146,
11,0.28540380,-0.01635635,0.00143719,
12,0.37475499,0.01027096,-0.00494194,
13,0.47731411,0.04514075,-0.00738716,
14,0.59363903,0.07858110,-0.00693703,
15,0.71101347,0.10656352,-0.00511742,
16,0.82666891,0.12523521,-0.00384521,
17,0.95506164,0.16130145,-0.00206852,
18,1.11065077,0.19583650,-0.00215340,
19,1.23913742,0.21632435,-0.00280190,
20,1.39546898,0.24215599,0.00034904,
21,1.55794459,0.27114781,0.00293732,
22,1.73567757,0.26966467,0.00727654,
23,1.90015637,0.30481880,0.00760078,
24,2.07335461,0.33017233,0.00651455,
25,2.25171891,0.35720864,0.00515175,
26,2.43727058,0.37380341,0.00386810,
27,2.56095834,0.38334984,0.00343800,
28,2.64808031,0.39020345,0.00647831,
29,2.76237486,0.39435026,0.01010132,
30,2.85512352,0.39186048,0.01344013,
31,2.93953754,0.38982642,0.01798725,
32,2.98904278,0.37974092,0.02398968,
33,3.05781845,0.36521724,0.02309322,
34,3.12749868,0.36827209,0.01816082,
35,3.19628579,0.36385038,0.01133633,
36,3.26520403,0.36797693,0.00489235,
37,3.33491215,0.36259526,0.00093937,
38,3.39653836,0.36312634,-0.00107384,
39,3.45270120,0.37804288,-0.00359440,
40,3.53605091,0.37716538,-0.00685978,
41,3.67781056,0.39568025,-0.01064587,
42,3.67781056,0.39568025,-0.01064587,
43,3.74982489,0.41569740,-0.01372528,
44,3.84618964,0.42519891,-0.01805019,
45,3.93106118,0.42991132,-0.01965904,
46,4.01811878,0.43884784,-0.01766682,
47,4.13374537,0.45125640,-0.01205540,
48,4.23289983,0.47137592,-0.00399399,
49,4.33613079,0.49157230,0.00251198,
50,4.43618553,0.51704354,0.00559425,
51,4.52452511,0.51358349,0.00271511,
52,4.59450407,0.50945021,-0.00606346,
53,4.69229907,0.55245676,-0.01166534,
54,4.78821606,0.56075303,-0.01086235,
55,4.87483377,0.57219127,-0.00605202,
56,4.97896381,0.58119850,-0.00124264,
57,5.09270616,0.59619291,0.00425816,
