index,x,y,z,
0,-0.10635651,0.02681923,0.03241301,
1,-0.10089766,0.04323769,0.02547169,
2,-0.10089766,0.04323769,0.02547169,
3,-0.09199651,0.03628731,0.02496004,
4,-0.08276443,0.04426957,0.02819443,
5,-0.08817274,0.05860901,0.03226185,
6,-0.08248453,0.06512643,0.03589678,
7,-0.06571220,0.08230973,0.03820992,
8,-0.04598300,0.08134080,0.03949976,
9,-0.02799521,0.10391999,0.03978157,
10,-0.00411655,0.13712884,0.03665876,
11,0.02644071,0.16039850,0.03369856,
12,0.07891348,0.19784166,0.03371716,
13,0.13052174,0.23015787,0.03871059,
14,0.16407307,0.26995089,0.03874254,
15,0.22028711,0.29394724,0.03406620,
16,0.26716036,0.34775355,0.02613497,
17,0.31575452,0.37335971,0.01978111,
18,0.35501218,0.40259555,0.01588917,
19,0.41122812,0.43591884,0.01542997,
20,0.47407023,0.47432331,0.01529121,
21,0.52488502,0.51624302,0.01367855,
22,0.59128434,0.53807072,0.01141357,
23,0.63923238,0.55380253,0.01003790,
24,0.69639676,0.57810978,0.00956869,
25,0.74410828,0.60212521,0.00922298,
26,0.80653268,0.63045125,0.00782156,
27,0.85411116,0.66080098,0.00520134,
28,0.90489114,0.68893438,0.00437021,
29,0.97395027,0.72081190,0.00313282,
30,1.02774292,0.75157362,0.00149822,
31,1.08407425,0.78283316,-0.00032711,
32,1.14347357,0.81436354,-0.00162315,
33,1.21185891,0.86317641,-0.00166416,
34,1.29351992,0.89147384,-0.00162458,
35,1.37298127,0.95479972,-0.00314713,
36,1.46596910,1.00202186,-0.00309849,
37,1.57328641,1.04051216,-0.00019884,
38,1.69197870,1.09826668,0.00180674,
39,1.80761112,1.14105805,0.00384617,
40,1.90741678,1.19846544,0.00348186,
41,1.98758098,1.23585901,0.00245714,
42,2.06120630,1.26418505,0.00270081,
43,2.14655518,1.25914774,0.00305176,
44,2.20974679,1.28055963,0.00457716,
45,2.26646817,1.30327044,0.00716257,
46,2.32357580,1.32943926,0.00987673,
47,2.37095115,1.34145937,0.01142406,
48,2.41319381,1.35052691,0.01343918,
49,2.45733238,1.36614237,0.01576757,
50,2.48203167,1.36137400,0.01563740,
51,2.51898857,1.36421404,0.01339960,
52,2.54620653,1.36785136,0.01226616,
53,2.56325399,1.35318003,0.01393843,
54,2.58349723,1.34206210,0.01568508,
