index,x,y,z,
1,-1.24642771,-26.19893961,7.26142168,
2,-1.24096886,-26.18252115,7.26836300,
3,-1.24096886,-26.18252115,7.26836300,
4,-1.23206771,-26.18947153,7.26887465,
5,-1.22283563,-26.18148927,7.26564026,
6,-1.22824394,-26.16714983,7.26157284,
7,-1.22255573,-26.16063241,7.25793791,
8,-1.20578340,-26.14344911,7.25562477,
9,-1.18605420,-26.14441804,7.25433493,
10,-1.16806641,-26.12183885,7.25405312,
11,-1.14418775,-26.08863000,7.25717592,
12,-1.11363049,-26.06536034,7.26013613,
13,-1.06115772,-26.02791718,7.26011753,
14,-1.00954946,-25.99560097,7.25512409,
15,-0.97599813,-25.95580795,7.25509214,
16,-0.91978409,-25.93181160,7.25976849,
17,-0.87291084,-25.87800529,7.26769972,
18,-0.82431668,-25.85239913,7.27405357,
19,-0.78505902,-25.82316329,7.27794552,
20,-0.72884308,-25.78984000,7.27840471,
21,-0.66600097,-25.75143553,7.27854347,
22,-0.61518618,-25.70951582,7.28015614,
23,-0.54878686,-25.68768812,7.28242111,
24,-0.50083882,-25.67195631,7.28379679,
25,-0.44367444,-25.64764906,7.28426600,
26,-0.39596292,-25.62363363,7.28461170,
27,-0.33353852,-25.59530759,7.28601313,
28,-0.28596004,-25.56495786,7.28863335,
29,-0.23518006,-25.53682446,7.28946447,
30,-0.16612093,-25.50494694,7.29070187,
31,-0.11232828,-25.47418522,7.29233646,
32,-0.05599695,-25.44292568,7.29416180,
33,0.00340237,-25.41139530,7.29545784,
34,0.07178771,-25.36258243,7.29549885,
35,0.15344872,-25.33428500,7.29545927,
36,0.23291007,-25.27095912,7.29698181,
37,0.32589790,-25.22373698,7.29693317,
38,0.43321521,-25.18524668,7.29403353,
39,0.55190750,-25.12749216,7.29202795,
40,0.66753992,-25.08470079,7.28998852,
41,0.76734558,-25.02729340,7.29035282,
42,0.84750978,-24.98989983,7.29137754,
43,0.92113510,-24.96157379,7.29113388,
44,1.00648398,-24.96661110,7.29078293,
45,1.06967559,-24.94519921,7.28925753,
46,1.12639697,-24.92248840,7.28667212,
47,1.18350460,-24.89631958,7.28395796,
48,1.23087995,-24.88429947,7.28241062,
49,1.27312261,-24.87523193,7.28039551,
50,1.31726118,-24.85961647,7.27806711,
51,1.34196047,-24.86438484,7.27819729,
52,1.37891737,-24.86154480,7.28043509,
53,1.40613533,-24.85790748,7.28156853,
54,1.42318279,-24.87257881,7.27989626,
55,1.44342603,-24.88369674,7.27814960,
56,1.45744366,-24.88819618,7.27758789,
57,1.48461203,-24.90728111,7.27818155,
58,1.50587141,-24.91900749,7.27837944,
59,1.53556177,-24.92294807,7.27665043,
60,1.57130942,-24.93591042,7.27303123,
61,1.60908935,-24.94282265,7.27027512,
62,1.67093103,-24.93705483,7.26785135,
63,1.73646680,-24.95671196,7.26588678,
64,1.81905048,-24.93931122,7.26735973,
65,1.90275712,-24.91193504,7.26881313,
66,1.99876120,-24.90679092,7.26646805,
67,2.08384471,-24.88940162,7.26432323,
68,2.19329943,-24.86668510,7.26417637,
69,2.27166452,-24.83545608,7.26663446,
70,2.34983721,-24.82338828,7.26996469,
71,2.40632208,-24.80102653,7.27398825,
72,2.50027597,-24.76415366,7.27660799,
73,2.59689014,-24.74026984,7.27473497,
74,2.68282241,-24.70992583,7.26897860,
75,2.76602955,-24.67618101,7.26684856,
76,2.86656952,-24.62901228,7.26738262,
77,2.95723155,-24.58811300,7.26916027,
78,3.06964314,-24.54649655,7.27176046,
79,3.16756669,-24.49453274,7.27419567,
80,3.29065992,-24.44006649,7.27498865,
81,3.40530001,-24.39488331,7.27450371,
82,3.52805803,-24.33330074,7.27908516,
83,3.62650633,-24.28616824,7.28412437,
84,3.69598039,-24.25574412,7.28782034,
85,3.78550264,-24.21288790,7.29112673,
86,3.85023835,-24.18252100,7.29401159,
87,3.91025681,-24.15773119,7.29699659,
88,3.96809946,-24.12141145,7.29788780,
89,4.03456977,-24.07175554,7.29785681,
90,4.10627792,-24.02818597,7.29805517,
91,4.18313867,-23.98977578,7.30011082,
92,4.25294161,-23.95446885,7.30198669,
93,4.34125566,-23.91712677,7.30531502,
94,4.41428979,-23.88283836,7.30586290,
95,4.50325700,-23.85723602,7.30627871,
96,4.57638600,-23.80614768,7.30528927,
97,4.67945345,-23.78273307,7.30086470,
98,4.76700379,-23.75049888,7.29706192,
99,4.87264884,-23.71503935,7.29424047,
100,4.95320507,-23.67014800,7.29460669,
101,5.02320944,-23.65911589,7.29623175,
102,5.11161810,-23.64065847,7.29728794,
103,5.18837465,-23.61158094,7.29794693,
104,5.29398922,-23.58170042,7.29874754,
105,5.39242484,-23.54482755,7.29939270,
106,5.51976897,-23.52988157,7.29961777,
107,5.61757088,-23.50442800,7.29963064,
108,5.71599211,-23.47818860,7.29940224,
109,5.81608605,-23.45048627,7.29373503,
110,5.91755115,-23.42387684,7.28737354,
111,6.02075038,-23.39202603,7.28060389,
112,6.14337243,-23.34073551,7.26995230,
113,6.25842946,-23.31330211,7.26283073,
114,6.36772970,-23.27807147,7.25647831,
115,6.46257495,-23.22796351,7.24932528,
116,6.56158098,-23.18119723,7.24501657,
117,6.65842363,-23.14582354,7.24620295,
118,6.72585606,-23.10315996,7.25054932,
119,6.81871247,-23.06960970,7.25623751,
120,6.86261304,-23.05522447,7.26010513,
121,6.89673526,-23.03953081,7.26293373,
122,6.93252969,-23.02542787,7.26604319,
123,6.95867333,-23.00839906,7.26821423,
124,6.99791778,-22.99734979,7.26788473,
125,7.02603153,-22.97483163,7.26423550,
126,7.08580760,-22.96279435,7.25880337,
127,7.13441537,-22.94350915,7.25569201,
128,7.20168413,-22.91003136,7.25309324,
129,7.26145735,-22.88327126,7.25126982,
130,7.33008672,-22.85709480,7.25095129,
131,7.38574560,-22.82553772,7.25235271,
132,7.46680744,-22.78774169,7.25395203,
133,7.53761332,-22.75305465,7.25439835,
134,7.61236580,-22.70384887,7.25598812,
135,7.67554617,-22.69091704,7.25793552,
136,7.73756456,-22.64768126,7.25885010,
137,7.80200115,-22.62926390,7.25627136,
138,7.86476318,-22.58781149,7.25310802,
139,7.91847829,-22.56624700,7.25182581,
140,7.98386271,-22.54318334,7.25324154,
141,8.06284419,-22.52857305,7.25871801,
142,8.13521821,-22.48905278,7.26947737,
143,8.22503093,-22.46024991,7.27640152,
144,8.30561958,-22.43258191,7.27998686,
145,8.39780100,-22.40641308,7.28303576,
146,8.49641607,-22.39554882,7.28787947,
147,8.60917880,-22.36419392,7.29226303,
148,8.70945677,-22.31264591,7.29339790,
149,8.83693523,-22.29618168,7.29274654,
150,8.98477582,-22.24660587,7.29055405,
151,9.11244689,-22.20958423,7.28683233,
152,9.22273289,-22.17220591,7.28450727,
153,9.35451668,-22.13628100,7.28215885,
154,9.47939704,-22.10100077,7.27748251,
155,9.61227874,-22.05916498,7.27122879,
156,9.72263817,-22.02065942,7.26916313,
157,9.85501485,-21.95542619,7.26813984,
158,9.96578557,-21.92731187,7.27028370,
159,10.07671241,-21.87358185,7.27340651,
160,10.19379528,-21.84935662,7.27587223,
161,10.32688557,-21.79962440,7.27711248,
162,10.45568266,-21.75640007,7.27681208,
163,10.57795587,-21.71457954,7.27591515,
164,10.75256088,-21.64882941,7.27432871,
165,10.89189968,-21.61056227,7.27218008,
166,11.07240244,-21.54550260,7.27059698,
167,11.23259814,-21.49868291,7.27171659,
168,11.37232412,-21.46182721,7.27397346,
169,11.53430462,-21.41857617,7.27657175,
170,11.70040880,-21.37502758,7.27980947,
171,11.86398910,-21.33333294,7.28375530,
172,12.00679546,-21.29931156,7.28625584,
173,12.14129530,-21.26834766,7.28632593,
174,12.27477419,-21.22273723,7.28713512,
175,12.40861411,-21.20466701,7.28930473,
176,12.55903842,-21.16469470,7.29193020,
177,12.69931180,-21.12955657,7.29267931,
178,12.85276739,-21.09571543,7.29044199,
179,13.04002128,-21.06316271,7.28750467,
180,13.20537345,-21.01024713,7.28363323,
181,13.38656617,-20.94626226,7.27963924,
182,13.57111346,-20.88867368,7.27638817,
183,13.76702143,-20.83553685,7.27413845,
184,13.94574603,-20.77575290,7.27332544,
185,14.11996498,-20.71236217,7.27294588,
186,14.30058069,-20.63939082,7.27237940,
187,14.45052714,-20.58454119,7.27117968,
188,14.56384908,-20.53383337,7.26849794,
189,14.70518997,-20.45414529,7.26614237,
190,14.70518997,-20.45414529,7.26614237,
191,14.71786049,-20.44159113,7.26488113,
192,14.74837333,-20.42486558,7.26058578,
193,14.75465948,-20.41981015,7.25322723,
194,14.75502280,-20.40904126,7.24788570,
195,14.75114226,-20.39501558,7.24680567,
196,14.72388331,-20.39313016,7.26307249,
197,14.69678508,-20.39827047,7.26844978,
198,14.68630896,-20.40743718,7.27039528,
199,14.66756830,-20.42018590,7.26702452,
200,14.64549448,-20.41515241,7.25969839,
201,14.62935351,-20.41688047,7.25568247,
202,14.61089467,-20.43545518,7.25569677,
203,14.57486810,-20.43574605,7.25668621,
204,14.54604855,-20.46756635,7.25543547,
205,14.52665311,-20.45498930,7.25215530,
206,14.50176073,-20.45972238,7.25011206,
207,14.46934814,-20.46688734,7.24876785,
208,14.45069521,-20.48173223,7.24512434,
209,14.42216930,-20.47741113,7.24635696,
210,14.38281968,-20.49160562,7.25413370,
211,14.35140799,-20.50522410,7.25987959,
212,14.31830545,-20.52741419,7.26523066,
213,14.29278701,-20.54517351,7.26907921,
214,14.25363292,-20.56932913,7.26993799,
215,14.20208293,-20.58979117,7.26986647,
216,14.15696786,-20.60675990,7.27292633,
217,14.09459890,-20.63277614,7.27614212,
218,14.02478653,-20.67656600,7.27991390,
219,13.93339100,-20.71204937,7.28480339,
220,13.86673619,-20.72932613,7.28711605,
221,13.78912986,-20.75755585,7.28851700,
222,13.71543550,-20.77937878,7.28831100,
223,13.63650205,-20.77590359,7.28894997,
224,13.59801503,-20.78996075,7.29096842,
225,13.54793701,-20.80137719,7.29327774,
226,13.49925234,-20.82206906,7.29563189,
227,13.45384972,-20.83424176,7.29501009,
228,13.41274865,-20.83969868,7.29357672,
229,13.35406135,-20.86709775,7.29218435,
230,13.31523961,-20.88889779,7.29065704,
231,13.25512412,-20.89353360,7.29074526,
232,13.21549461,-20.91469182,7.29371500,
233,13.17032900,-20.93175687,7.29594612,
234,13.12888461,-20.94209947,7.29601479,
235,13.07072135,-20.96734609,7.29423714,
236,13.02397550,-20.98734369,7.29152870,
237,12.96181584,-21.00632181,7.28827047,
238,12.90661230,-21.02587404,7.28444672,
239,12.85163765,-21.04380884,7.28046083,
240,12.79625819,-21.08033267,7.27801180,
241,12.74335352,-21.11106005,7.27610445,
242,12.67292358,-21.13205424,7.27483177,
243,12.61012592,-21.15794078,7.27622795,
244,12.54395751,-21.18984882,7.27930069,
245,12.49585602,-21.21546451,7.28230238,
246,12.40286499,-21.25916187,7.28654099,
247,12.40286499,-21.25916187,7.28654099,
248,12.35602902,-21.28516666,7.28677988,
249,12.30014314,-21.31021397,7.28612471,
250,12.26681032,-21.35260861,7.28500319,
251,12.21744520,-21.37930005,7.28311920,
252,12.18347959,-21.41027730,7.28267431,
253,12.12555571,-21.44440359,7.28287077,
254,12.06684219,-21.47957510,7.28183460,
255,11.98498103,-21.51570791,7.27926731,
256,11.92585836,-21.53997129,7.27665567,
257,11.84992574,-21.58067030,7.27630234,
258,11.68711181,-21.66314216,7.27506113,
259,11.68711181,-21.66314216,7.27506113,
260,11.61341606,-21.71663566,7.27321529,
261,11.49984611,-21.76311966,7.27050924,
262,11.37777034,-21.82303711,7.26811218,
263,11.10670320,-21.95217035,7.26192856,
264,11.10670320,-21.95217035,7.26192856,
265,10.96982113,-22.02740190,7.25939655,
266,10.81068787,-22.09940432,7.25744629,
267,10.65824584,-22.16558169,7.25553083,
268,10.50056621,-22.23716449,7.25314188,
269,10.35612457,-22.30468082,7.25238800,
270,10.22010674,-22.36748028,7.25037241,
271,10.07691318,-22.41727925,7.24818039,
272,9.92402909,-22.47740079,7.24786425,
273,9.75094112,-22.54254820,7.24921942,
274,9.59309576,-22.60498907,7.25039530,
275,9.42424853,-22.66689780,7.25020361,
276,9.26421497,-22.73995307,7.25103855,
277,9.06661103,-22.79338745,7.25276709,
278,8.89001187,-22.87201409,7.25472021,
279,8.69778549,-22.94430833,7.25870609,
280,8.47212546,-23.01759821,7.26533556,
281,8.28010064,-23.07612520,7.27086687,
282,8.11510018,-23.15222842,7.27527380,
283,7.95736763,-23.17800051,7.28046608,
284,7.83761551,-23.21223742,7.28584957,
285,7.70266298,-23.24644572,7.28967667,
286,7.58954889,-23.29585941,7.29374266,
287,7.48314269,-23.31880482,7.29634237,
288,7.40373294,-23.33170994,7.29779196,
289,7.31313352,-23.35412891,7.29677343,
290,7.22231530,-23.38080700,7.29573298,
291,7.12778119,-23.40346058,7.29552555,
292,7.03490103,-23.43163403,7.29241180,
293,6.91854380,-23.47532186,7.28772831,
294,6.81541111,-23.49404439,7.28210831,
295,6.68960987,-23.54632863,7.27369928,
296,6.58097377,-23.57909689,7.26881552,
297,6.44251340,-23.62299452,7.26526594,
298,6.31827343,-23.64564047,7.26573133,
299,6.20366294,-23.69602309,7.27053070,
300,6.09556290,-23.73046790,7.27601385,
301,5.99614197,-23.76023017,7.27702522,
302,5.87190881,-23.80777847,7.27653074,
303,5.76215649,-23.86462128,7.27580118,
304,5.64564454,-23.92901146,7.27373838,
305,5.55370969,-23.96141160,7.26939869,
306,5.45797471,-24.03538240,7.26419544,
307,5.32273543,-24.09354509,7.26171541,
308,5.19887595,-24.15965761,7.25844049,
309,5.05410196,-24.25091281,7.25466394,
310,4.93138247,-24.31470409,7.25485468,
311,4.77690809,-24.38735119,7.25651169,
312,4.64871694,-24.45767323,7.25785303,
313,4.50921404,-24.51942174,7.25953960,
314,4.37685250,-24.58048933,7.26158094,
315,4.21807935,-24.65645331,7.26592875,
316,3.91128530,-24.81722755,7.27218390,
317,3.91128530,-24.81722755,7.27218390,
318,3.74584021,-24.88316460,7.27274370,
319,3.58143438,-24.94827004,7.27316093,
320,3.39390810,-25.03997346,7.27401543,
321,3.17602601,-25.13142893,7.27361584,
322,2.98211556,-25.21642230,7.27188635,
323,2.79369209,-25.29847644,7.26916552,
324,2.56652521,-25.39500545,7.26555204,
325,2.33224273,-25.50360798,7.26174736,
326,2.12700256,-25.59396291,7.25878525,
327,1.91024625,-25.67940069,7.25609398,
328,1.67966736,-25.78232505,7.25458288,
329,1.48420141,-25.86294105,7.25300312,
330,1.29007084,-25.96890953,7.25230074,
331,1.07835257,-26.05926065,7.25351429,
332,0.89555072,-26.15973024,7.25386477,
333,0.70662342,-26.24838000,7.25454998,
334,0.49891006,-26.32634860,7.25400400,
